,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,,,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elementsize,,,Sample,0,Sample,1,Sample,2,Sample,3,Sample,4,Sample,5,Sample,6,Sample,7,Sample,8,Sample,9,Sample,10,Sample,11,Sample,12,Sample,13,Sample,14,Sample,15,Sample,16,Sample,17,Sample,18,Sample,19,Sample,20,Sample,21,Sample,22,Sample,23,Sample,24,Sample,25,Sample,26,Sample,27,Sample,28,Sample,29,Sample,30,Sample,31,Sample,32,Sample,33,Sample,34,Sample,35,Sample,36,Sample,37,Sample,38,Sample,39,Sample,40,Sample,41,Sample,42,Sample,43,Sample,44,Sample,45,Sample,46,Sample,47,Sample,48,Sample,49,Sample,50,Sample,51,Sample,52,Sample,53,Sample,54,Sample,55,Sample,56,Sample,57,Sample,58,Sample,59,Sample,60,Sample,61,Sample,62,Sample,63,Sample,64,Sample,65,Sample,66,Sample,67,Sample,68,Sample,69,Sample,70,Sample,71,Sample,72,Sample,73,Sample,74,Sample,75,Sample,76,Sample,77,Sample,78,Sample,79,Sample,80,Sample,81,Sample,82,Sample,83,Sample,84,Sample,85,Sample,86,Sample,87,Sample,88,Sample,89,Sample,90,Sample,91,Sample,92,Sample,93,Sample,94,Sample,95,Sample,96,Sample,97,Sample,98,Sample,99,Sample,100
10,,,0.00061853,0.0006191613,0.0006213312,0.0006263737,0.0006239175,0.0006215613,0.00062274,0.0006226025,0.0006272712,0.000626305,0.0006217863,0.0006248075,0.0006275388,0.0006247575,0.0006249563,0.000627255,0.0006238837,0.0006277463,0.00062441,0.00062479,0.000624215,0.0006282713,0.0006266075,0.0006231287,0.0006238913,0.0006248037,0.0006229125,0.000624885,0.0006246025,0.0006249213,0.0006258637,0.0006251162,0.0006262525,0.0006267838,0.0006283387,0.0006258,0.0006301388,0.0006263063,0.0006272025,0.0006260287,0.0006299838,0.0006266912,0.0006244287,0.0006247413,0.000625775,0.0006301375,0.0006298525,0.0006268313,0.000625235,0.0006274638,0.000627585,0.0006263775,0.0006283887,0.000627215,0.0006279362,0.0006316175,0.0006276412,0.00062791,0.0006279113,0.0006327863,0.0006275112,0.0006277375,0.0006277825,0.0006268875,0.0006649487,0.0006309525,0.0006270075,0.0006282425,0.0006313987,0.00062798,0.0006317713,0.0006306,0.000627905,0.0006314712,0.0006283963,0.0006286738,0.0006317512,0.0006321287,0.000630485,0.0006291587,0.00062872,0.0006334512,0.00063184,0.000631975,0.0006333925,0.0006309325,0.0006279213,0.0006329675,0.0006285888,0.0006318213,0.0006273937,0.00062932,0.0006298625,0.0006286563,0.0006289262,0.0006288825,0.0006290237,0.0006285275,0.0006299037,0.0006288275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.0019201625,0.001928515,0.0019251562,0.0019282087,0.0019256438,0.0019272713,0.001930645,0.0019299813,0.001926755,0.0019326963,0.00192627,0.0019292163,0.0019953837,0.00192641,0.0019328663,0.00192858,0.001928665,0.0019341788,0.0020152113,0.0019287813,0.0019262162,0.001940135,0.0019309937,0.0019341363,0.0019285337,0.0019369237,0.0019269325,0.0019343825,0.0020337975,0.00193436,0.0019371787,0.001935785,0.0019348112,0.0019377162,0.001928105,0.0019361337,0.0019301,0.0019346763,0.0019302288,0.0019287475,0.0019326613,0.0019343813,0.0019500288,0.0019316713,0.0019358775,0.0019304025,0.0019354337,0.0019296437,0.001936725,0.0019898675,0.0019468862,0.0019316687,0.001931995,0.0019310788,0.0019315913,0.00193238,0.0019744475,0.00193085,0.0019816725,0.001929605,0.001950755,0.001932295,0.001951735,0.0020010938,0.0019306387,0.0019386187,0.001930815,0.0019319587,0.0019292187,0.0019481037,0.00197134,0.0019377375,0.0019426887,0.0019316838,0.0019450962,0.0019340662,0.0019373363,0.00194732,0.001933335,0.001931875,0.001931825,0.0019322037,0.0019352488,0.00193547,0.0019325113,0.0019283888,0.0019320575,0.0019325375,0.0019332138,0.0019390862,0.001931925,0.0019323087,0.0019382788,0.0019877775,0.0019315637,0.0019374025,0.0019355025,0.0019378925,0.0019411288,0.0019344212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.0046579475,0.0046865875,0.0046847625,0.0046866713,0.004799545,0.0048735325,0.004701295,0.0046762425,0.0047005437,0.0048374,0.004673655,0.0048012775,0.0047960387,0.00472988,0.0048376187,0.0046905412,0.0046892413,0.0046711788,0.0046894413,0.004749435,0.0047846875,0.0047037787,0.0047096238,0.004739415,0.0047177287,0.004678185,0.0048209775,0.00467514,0.0046865162,0.00467201,0.00470942,0.004692665,0.00477263,0.00470634,0.0047189213,0.0048068437,0.0048004563,0.0047945675,0.0047818838,0.0047101225,0.0047037638,0.0046895,0.004815325,0.004690705,0.0047281737,0.0046972275,0.0047591825,0.0046949663,0.0046922012,0.0047220513,0.0046809987,0.00468912,0.00467504,0.0046909912,0.0046978625,0.0047948025,0.0047422663,0.0046940087,0.004690825,0.00471372,0.0046751588,0.004673965,0.0047078012,0.0047514212,0.0046888888,0.00475832,0.0046865137,0.0047608537,0.004681795,0.00476726,0.0046818275,0.0048060362,0.0046889325,0.0047357,0.0046863488,0.0047402675,0.0046948075,0.0046801612,0.0046829888,0.0047220075,0.0046915362,0.0048266825,0.004695,0.0047028087,0.0047528725,0.0046973825,0.0046839625,0.0046886562,0.004698245,0.004775855,0.0047707588,0.0046801237,0.0047013962,0.0046979763,0.0047769687,0.0047144975,0.0046946113,0.0047448637,0.00470041,0.0046945437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.0094697175,0.00920025,0.0091998075,0.0092531487,0.009215465,0.0091959338,0.00942323,0.0094282587,0.0092627313,0.0092065775,0.0092156413,0.009396365,0.0092388412,0.0092198175,0.0092958162,0.0091955688,0.0091762063,0.0092224538,0.0095585162,0.00922196,0.0093315963,0.0092150312,0.0092062087,0.0092100813,0.0092965313,0.0093754663,0.0092059313,0.009198695,0.0094406425,0.0091830925,0.0091744562,0.0092373538,0.00920304,0.009433985,0.00922206,0.009212325,0.0092424487,0.009439655,0.0092098487,0.0094262688,0.0093934013,0.00922239,0.00943363,0.0092558663,0.0092145338,0.009441845,0.0092567725,0.0091760212,0.0094482913,0.0091730225,0.00922479,0.0092077487,0.009202095,0.0091922025,0.009205375,0.0092116988,0.0092337575,0.0094302287,0.0092244088,0.0093793762,0.0092095113,0.0094423463,0.009306915,0.0092315337,0.009455775,0.0092273287,0.0092411188,0.0092817963,0.0092591187,0.0092055662,0.0094192275,0.0091868675,0.0092568912,0.0092259438,0.0094505375,0.0092412,0.0092168362,0.00937805,0.0091806262,0.0091980575,0.0094477113,0.0092085225,0.0092253925,0.0092145013,0.0092610837,0.00925769,0.0094477525,0.0094553562,0.0091789588,0.0094397863,0.0092237212,0.0092282625,0.0094025263,0.0091996525,0.0092003388,0.00921532,0.0092541688,0.0092463175,0.0092201063,0.0092103075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,0.01608628,0.0159628862,0.0159406338,0.0158831188,0.01585547,0.0158427775,0.0158921188,0.0160148425,0.0160401263,0.0162505725,0.0159425088,0.0158971212,0.01584653,0.0159026438,0.0159239312,0.016144905,0.0161512112,0.0158632425,0.015843445,0.0160895525,0.0158425875,0.015940155,0.0159606162,0.0159772987,0.0160901575,0.0160959,0.0161084737,0.0162510438,0.0158557338,0.0160899525,0.0158574938,0.01621662,0.0159819288,0.015851225,0.0158700163,0.0160146637,0.0162210525,0.01591201,0.0159232813,0.016213905,0.0159762788,0.01623561,0.0159315725,0.01586541,0.0158823225,0.01587913,0.015943925,0.0159422638,0.0158550363,0.0160379325,0.0160143513,0.0160052075,0.0160158325,0.0161161725,0.0158504538,0.0162507425,0.0159768425,0.0158471413,0.0162082225,0.015854485,0.0159366288,0.01626081,0.015848515,0.0158682775,0.015872045,0.0160197912,0.016241535,0.01589422,0.0159458288,0.01623916,0.0159299425,0.0158637138,0.0158779938,0.0161367675,0.0159724612,0.0158641438,0.0158739587,0.015903455,0.0158403525,0.0158590875,0.0158731937,0.0158580488,0.0159686787,0.0160800525,0.016261965,0.0158855963,0.0162616038,0.0158462438,0.0158668688,0.0159019688,0.01616529,0.0162474975,0.0158183925,0.0158777875,0.0159895438,0.0161263612,0.015866765,0.0158607112,0.01607482,0.0158583162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,0.0258121763,0.025997655,0.02611512,0.0262227975,0.0259402162,0.0259942175,0.025601245,0.02555209,0.0261396525,0.026035005,0.0257021125,0.0260444338,0.026179785,0.0257818875,0.0257744425,0.0256692525,0.0258876225,0.0257815163,0.02604306,0.0259065187,0.0260748225,0.02576225,0.02572526,0.0260597775,0.02575303,0.0259078212,0.0257499975,0.0260759788,0.02614041,0.0258884487,0.0257461275,0.0259761425,0.02555699,0.0256544812,0.0259137537,0.0256235063,0.0257049262,0.0257663775,0.0259738425,0.02581021,0.0260763375,0.0258204613,0.0255441688,0.0259477413,0.026164335,0.026128935,0.0258421163,0.0260644912,0.02620779,0.0259361838,0.0256247725,0.0256456238,0.0261223725,0.0261079275,0.0259123525,0.0262141575,0.0258922687,0.025940455,0.0258776112,0.0258578562,0.0256942687,0.0256335213,0.025684115,0.0256105312,0.0258208287,0.0258629188,0.0255724675,0.025960185,0.0258107963,0.0257052138,0.0257476588,0.0255194062,0.0257451062,0.0258181388,0.0257330738,0.025985985,0.0259931188,0.0261504,0.02610153,0.0256144387,0.0255875713,0.0257276988,0.0261588225,0.02560132,0.0258936513,0.0260369825,0.0257391013,0.025719855,0.0256278275,0.02620647,0.0257582887,0.02572182,0.026061465,0.02616927,0.0257434912,0.0259883125,0.02615706,0.0261273375,0.0256594888,0.0260661375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,0.038718255,0.039191145,0.0386767412,0.0390663938,0.038836645,0.0387376087,0.0387625263,0.0390079137,0.039197835,0.0389392163,0.039021505,0.0389036575,0.0388305687,0.03926995,0.0384678713,0.0391799175,0.0390706413,0.0389773263,0.0388610213,0.0388590337,0.0391831275,0.0389229125,0.0392222025,0.0388114162,0.0388803863,0.03909393,0.0391835625,0.0389193213,0.038999305,0.0391215075,0.0389765925,0.039057575,0.03908655,0.0391688575,0.0391403762,0.0390518025,0.0391589025,0.0389467937,0.0389750525,0.0384822488,0.0387575637,0.0390190262,0.0389069662,0.03912074,0.0390035775,0.039200025,0.0388714075,0.0389523037,0.0386906063,0.0388075013,0.0390180575,0.038970385,0.0388970287,0.0387854063,0.0385758188,0.0391367425,0.0390094,0.03886284,0.03906903,0.0391895638,0.0389419163,0.0390576487,0.0392190375,0.0389723838,0.0389723288,0.0382835375,0.0389263988,0.0389012675,0.039136965,0.0390164775,0.0389670275,0.0387766088,0.0390275837,0.0389263563,0.0390605562,0.0389624075,0.0390938625,0.0387593075,0.0389683237,0.0387883725,0.0389872375,0.0388550213,0.0380117237,0.039092625,0.0391833113,0.0391446588,0.039289245,0.03918135,0.0391304813,0.0392202,0.0388131038,0.0390825338,0.0390199938,0.03902308,0.0389936012,0.0389168725,0.0391574025,0.0392494625,0.03932898,0.0387927063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
