,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,,,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elementsize,,,Sample,0,Sample,1,Sample,2,Sample,3,Sample,4,Sample,5,Sample,6,Sample,7,Sample,8,Sample,9,Sample,10,Sample,11,Sample,12,Sample,13,Sample,14,Sample,15,Sample,16,Sample,17,Sample,18,Sample,19,Sample,20,Sample,21,Sample,22,Sample,23,Sample,24,Sample,25,Sample,26,Sample,27,Sample,28,Sample,29,Sample,30,Sample,31,Sample,32,Sample,33,Sample,34,Sample,35,Sample,36,Sample,37,Sample,38,Sample,39,Sample,40,Sample,41,Sample,42,Sample,43,Sample,44,Sample,45,Sample,46,Sample,47,Sample,48,Sample,49,Sample,50,Sample,51,Sample,52,Sample,53,Sample,54,Sample,55,Sample,56,Sample,57,Sample,58,Sample,59,Sample,60,Sample,61,Sample,62,Sample,63,Sample,64,Sample,65,Sample,66,Sample,67,Sample,68,Sample,69,Sample,70,Sample,71,Sample,72,Sample,73,Sample,74,Sample,75,Sample,76,Sample,77,Sample,78,Sample,79,Sample,80,Sample,81,Sample,82,Sample,83,Sample,84,Sample,85,Sample,86,Sample,87,Sample,88,Sample,89,Sample,90,Sample,91,Sample,92,Sample,93,Sample,94,Sample,95,Sample,96,Sample,97,Sample,98,Sample,99,Sample,100
10,,,0.0009578625,0.0009592812,0.00095829,0.0009575062,0.0009574625,0.0009579,0.00095837,0.0009573275,0.0009587438,0.00095825,0.0009573325,0.000958435,0.000958415,0.00095778,0.000958085,0.0009640937,0.0009585362,0.0009587125,0.0009586712,0.0009575375,0.0009586412,0.0009581963,0.0009589487,0.0009586775,0.0009584213,0.0009586825,0.0009577738,0.0009588387,0.0009571413,0.0009588375,0.000958065,0.0009588675,0.000957895,0.0009575087,0.000958265,0.0009582412,0.0009575788,0.0009579025,0.0009581325,0.0009589825,0.0009648413,0.000957755,0.0009579725,0.0009584062,0.0009572538,0.00095785,0.0009579837,0.00095759,0.0009583388,0.0009580688,0.0009596088,0.0009582787,0.0009582213,0.000958125,0.0009584012,0.0009584913,0.0009580363,0.0009578525,0.0009583263,0.0009580463,0.000957825,0.0009571513,0.0009583037,0.0009578863,0.000958715,0.00095748,0.000958455,0.0009580537,0.00096422,0.0009585975,0.00095829,0.000957225,0.00095791,0.0009572688,0.0009586937,0.0009579875,0.0009584262,0.00095848,0.0009647525,0.0009586325,0.000957865,0.0009646188,0.0009575788,0.0009590563,0.000958395,0.0009583662,0.00095794,0.0009580988,0.0009579925,0.00095796,0.000957645,0.0009577,0.000957825,0.0009574675,0.0009575362,0.0009578375,0.0009580375,0.00095824,0.0009581062,0.0009589663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.003734365,0.00381516,0.0037332437,0.00373072,0.0037326863,0.0037326962,0.0037519825,0.003751945,0.00373983,0.0037305225,0.003733755,0.0038126837,0.0037312937,0.0038301675,0.0037290438,0.0037310262,0.00373045,0.00375074,0.0037312175,0.003733235,0.0037329725,0.0038066,0.0037259987,0.0037460988,0.0037317963,0.0037454788,0.0038191413,0.0038227813,0.00374352,0.0037328312,0.0037498587,0.0037315912,0.0037331187,0.0037582412,0.0037330175,0.0037309462,0.0037303163,0.0037320463,0.003733165,0.0037333412,0.0037340213,0.0037325613,0.00372838,0.003732775,0.003732125,0.0037930913,0.0037292575,0.0037291125,0.0037292037,0.0037343475,0.0037281238,0.0038057237,0.0037954712,0.003732965,0.0038297812,0.0037280913,0.0037324138,0.0038122188,0.0038321725,0.0037334525,0.00374966,0.00372877,0.003732705,0.00373033,0.0037279262,0.0037914888,0.0037281438,0.0037265538,0.0037920812,0.0037304412,0.0037308225,0.00373396,0.0038487625,0.00373228,0.0037323663,0.0037320788,0.003744525,0.00374293,0.0037344738,0.0037345875,0.0037302175,0.00373159,0.0037965137,0.0037967862,0.0037316112,0.0037319513,0.00373245,0.0037306163,0.0037292075,0.0037402163,0.0037345763,0.0038346575,0.0037302288,0.003734985,0.0037292425,0.0037629288,0.0037328438,0.003728875,0.003731295,0.0037294675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.0076241025,0.007625205,0.0076319838,0.0076338788,0.0076314675,0.0076266038,0.0076240025,0.0076285,0.00762805,0.0076312312,0.00762438,0.0076282487,0.0076250662,0.0076287362,0.0076267587,0.0076292,0.0076240225,0.0076268175,0.0076241175,0.00762444,0.007624315,0.007628925,0.0076229913,0.007629845,0.0076280363,0.0076286075,0.0076247875,0.0076276325,0.0076285187,0.0076256712,0.00762787,0.007623945,0.0076267875,0.0076254813,0.007624615,0.0076295362,0.0076271,0.0076254838,0.0076248137,0.007625415,0.00763095,0.0076252825,0.0076259088,0.0076262713,0.007622925,0.0076277187,0.0076232275,0.0076238638,0.0076272225,0.00762987,0.00762826,0.0076248775,0.0076244287,0.0076272125,0.0076310012,0.00762978,0.0076261325,0.0076258625,0.0076250288,0.0076316225,0.00762881,0.0076247625,0.00763622,0.00762651,0.0076300113,0.0076295763,0.0076278838,0.0076255275,0.00762414,0.0076277213,0.0076255362,0.0076234787,0.0076316812,0.0076256038,0.0076275812,0.00762573,0.0076331187,0.007625585,0.0076250937,0.007623295,0.0076236763,0.0076294788,0.007630195,0.0076237287,0.0076247712,0.00762669,0.0076237987,0.0076272125,0.0076238912,0.007628575,0.007623445,0.0076230612,0.007627395,0.007629175,0.0076286525,0.007625785,0.0076287737,0.0076300887,0.007623345,0.0076279175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.0149351075,0.0149448063,0.0149392012,0.0149407225,0.0149376438,0.01492936,0.0149363162,0.01494381,0.01494356,0.0149308587,0.0149441825,0.014945985,0.014934485,0.014942485,0.0149344575,0.0149344787,0.0149308537,0.0149338112,0.0149363437,0.0149369712,0.0149444537,0.0149366612,0.0149355375,0.0149389938,0.01494009,0.014936935,0.0149401137,0.0149440425,0.0149426025,0.0149357412,0.01492966,0.0149375725,0.0149375162,0.014929885,0.0149344475,0.0149353437,0.0149299675,0.01493234,0.0149325412,0.0149317987,0.0149377562,0.0149347213,0.0149401088,0.0149412525,0.0149351438,0.0149379638,0.0149386788,0.0149296175,0.01493411,0.0149300988,0.0149356475,0.0149382825,0.0149316788,0.014934725,0.0149367912,0.014937475,0.0149410975,0.0149395475,0.0149359975,0.0149323087,0.014933085,0.0149304087,0.0149338637,0.0149359525,0.0149355138,0.0149463625,0.0149402537,0.0149349412,0.0149289875,0.0149406375,0.0149367125,0.0149326437,0.0149372975,0.014930815,0.01493575,0.0149330863,0.0149412675,0.0149423887,0.014930515,0.01493715,0.0149371038,0.0149392762,0.0149409787,0.014934145,0.01493675,0.0149394025,0.0149375575,0.0149346325,0.0149322525,0.014940865,0.0149313625,0.0149321538,0.0149343787,0.01493263,0.014941115,0.014936085,0.0149368925,0.0149344875,0.0149356437,0.0149292388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,0.0258029125,0.0257950937,0.0258014812,0.0257946212,0.0257954487,0.0257990238,0.02579824,0.0258005788,0.0257987588,0.0258026325,0.0257998625,0.0258036912,0.02580342,0.0257961813,0.0257965738,0.0258000687,0.0257940963,0.0257964738,0.02579461,0.0257974738,0.0257980238,0.0258066063,0.025801695,0.0258009625,0.0258045637,0.02580896,0.0258070137,0.0258085813,0.0257956013,0.0258036,0.0257929325,0.025800465,0.0257993,0.0257963462,0.0257952225,0.02579891,0.0258048375,0.025797995,0.0258035625,0.0258021838,0.0257956275,0.0257967912,0.025796575,0.0257958713,0.0257990913,0.0257949063,0.0257965487,0.02579664,0.0257962638,0.02578626,0.0258050038,0.0258015862,0.025807275,0.0258013975,0.0257943075,0.0258013488,0.02580031,0.0257951763,0.0258031137,0.0257999888,0.0257990375,0.0258065775,0.0257920212,0.0257937075,0.025795685,0.0257991763,0.0258042338,0.0257964,0.0257993713,0.025801375,0.0257946912,0.025798115,0.0257980963,0.0257966863,0.02579847,0.02579242,0.0257973737,0.0257998325,0.02579298,0.0257969538,0.0257944912,0.0257972712,0.0257999387,0.0257962,0.0258017188,0.0257977437,0.0258002525,0.0257920375,0.025795565,0.0257986737,0.0258014237,0.0258048675,0.0257974913,0.0257920825,0.0257973213,0.0258012988,0.0258024437,0.0257945675,0.025803185,0.0257961825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,0.041030505,0.0410093312,0.0410120562,0.0410035962,0.0410149087,0.041016805,0.0410025662,0.0410023862,0.04101098,0.0410112913,0.0410007875,0.0410165288,0.0410122475,0.04098855,0.0409858575,0.0410028075,0.040987365,0.0409989375,0.04101524,0.04099934,0.0410093013,0.04098864,0.0410094362,0.0410077975,0.0410021825,0.0410125962,0.04098714,0.0410149488,0.0410061913,0.0410137563,0.0409881075,0.0410057375,0.0410007825,0.040988835,0.04100388,0.0410014725,0.0409905675,0.04098894,0.0410109212,0.041001985,0.0410123138,0.04098459,0.0410194038,0.041004485,0.0410165837,0.0410113475,0.0410091412,0.0410061262,0.0410176687,0.0410054825,0.0409846112,0.0410002912,0.0410175725,0.04101075,0.0410112362,0.041008635,0.041001735,0.041010075,0.04098954,0.0410097675,0.040999515,0.04098819,0.04101588,0.0409912275,0.0409949462,0.0410068275,0.04100099,0.0410145962,0.0410133637,0.04098696,0.040985895,0.0410020275,0.0409990975,0.0409998525,0.0409895325,0.0410145075,0.0410068488,0.0410120863,0.0410111812,0.0410076075,0.0409965512,0.0410005575,0.0410202438,0.0409982638,0.0410045025,0.0410111525,0.0410034975,0.0409883625,0.04100049,0.0410163212,0.041005635,0.0409881525,0.04098543,0.0410245937,0.0410039325,0.0410137662,0.0410141763,0.0410108462,0.040986735,0.0410149575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,0.06178791,0.0617546575,0.0616294275,0.06167481,0.06163272,0.06170874,0.061713435,0.061632945,0.0617494775,0.06162912,0.0617137525,0.0616259325,0.0616313325,0.0617305713,0.06173208,0.061632795,0.06174779,0.0617139212,0.061712985,0.0617211175,0.0617312625,0.0617096325,0.0617335037,0.06167721,0.061715235,0.0617459263,0.06174457,0.06162873,0.0617155925,0.0617316962,0.061634565,0.0617313437,0.06163467,0.0617524362,0.0617234287,0.061629795,0.0617316,0.061711965,0.0617286975,0.0617143125,0.0616309425,0.0617157375,0.0616520625,0.0617197337,0.0617138025,0.0617257037,0.0617187825,0.0617377412,0.06163356,0.0616287075,0.06171753,0.0616350075,0.0616407675,0.0617136362,0.06163875,0.06164499,0.0617112825,0.0616355625,0.06174104,0.0617330025,0.061718285,0.0616280575,0.0617401263,0.061716435,0.0616318625,0.0617320488,0.0617309388,0.0617147575,0.0617304887,0.0617141025,0.061632495,0.0617157325,0.061732435,0.0616337325,0.0617179787,0.0617118225,0.0617289063,0.06171552,0.0617399512,0.0617388087,0.0617125375,0.06175299,0.0617263425,0.06163149,0.0617181262,0.0616353225,0.06173479,0.0617363425,0.061735935,0.0617348312,0.061710945,0.061648755,0.061633635,0.0617104338,0.0616334025,0.0617089875,0.0617237075,0.0617366838,0.06173272,0.0617076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
