,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,,,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elementsize,,,Sample,0,Sample,1,Sample,2,Sample,3,Sample,4,Sample,5,Sample,6,Sample,7,Sample,8,Sample,9,Sample,10,Sample,11,Sample,12,Sample,13,Sample,14,Sample,15,Sample,16,Sample,17,Sample,18,Sample,19,Sample,20,Sample,21,Sample,22,Sample,23,Sample,24,Sample,25,Sample,26,Sample,27,Sample,28,Sample,29,Sample,30,Sample,31,Sample,32,Sample,33,Sample,34,Sample,35,Sample,36,Sample,37,Sample,38,Sample,39,Sample,40,Sample,41,Sample,42,Sample,43,Sample,44,Sample,45,Sample,46,Sample,47,Sample,48,Sample,49,Sample,50,Sample,51,Sample,52,Sample,53,Sample,54,Sample,55,Sample,56,Sample,57,Sample,58,Sample,59,Sample,60,Sample,61,Sample,62,Sample,63,Sample,64,Sample,65,Sample,66,Sample,67,Sample,68,Sample,69,Sample,70,Sample,71,Sample,72,Sample,73,Sample,74,Sample,75,Sample,76,Sample,77,Sample,78,Sample,79,Sample,80,Sample,81,Sample,82,Sample,83,Sample,84,Sample,85,Sample,86,Sample,87,Sample,88,Sample,89,Sample,90,Sample,91,Sample,92,Sample,93,Sample,94,Sample,95,Sample,96,Sample,97,Sample,98,Sample,99,Sample,100
10,,,0.0001064225,0.00010667,0.0001066212,0.0001066675,0.0001066713,0.0001066088,0.0001066313,0.00010668,0.0001066687,0.0001066662,0.0001066713,0.0001066225,0.0001066213,0.000106655,0.0001066575,0.0001066687,0.0001066737,0.0001066662,0.00010667,0.0001066725,0.000106655,0.000106665,0.0001066713,0.0001066825,0.0001066713,0.0001066713,0.0001066888,0.0001066762,0.0001066775,0.0001066125,0.0001066725,0.0001066675,0.0001066613,0.0001066262,0.0001066688,0.0001066262,0.0001066663,0.0001066538,0.000106625,0.0001066725,0.0001066775,0.0001066687,0.0001066212,0.0001066413,0.0001066525,0.0001066225,0.0001066713,0.000106675,0.0001067237,0.000106625,0.0001066725,0.000106665,0.0001066713,0.0001066725,0.0001066187,0.000106665,0.0001066712,0.0001066862,0.0001066675,0.0001066225,0.0001066688,0.0001066712,0.00010667,0.0001066737,0.00010666,0.0001066675,0.0001068187,0.0001066612,0.0001066538,0.00010667,0.0001066663,0.0001066262,0.00010663,0.0001066712,0.0001066725,0.0001066275,0.0001066538,0.0001066538,0.0001066725,0.0001066725,0.0001066775,0.0001066613,0.00010667,0.0001066788,0.0001066675,0.0001066725,0.00010667,0.0001066675,0.000106625,0.0001066712,0.000106665,0.0001066737,0.0001066475,0.0001066788,0.0001066238,0.0001066538,0.0001066275,0.000106665,0.0001066737,0.0001066687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.0003535112,0.0003538763,0.0003539213,0.0003540825,0.0003538813,0.0003538812,0.0003538662,0.0003539213,0.0003538987,0.0003538825,0.000353885,0.0003538837,0.000353885,0.0003539325,0.0003539425,0.000353885,0.0003538713,0.000353925,0.0003538825,0.0003538825,0.00035394,0.0003539263,0.0003538863,0.0003538775,0.0003538787,0.000353885,0.0003539788,0.0003538812,0.0003538825,0.000353975,0.0003540437,0.0003538812,0.0003539225,0.0003538812,0.0003538987,0.0003538788,0.0003538663,0.0003538863,0.0003538762,0.0003539225,0.0003538775,0.0003538812,0.0003538738,0.0003538888,0.00035392,0.0003538775,0.0003539325,0.0003538788,0.0003538775,0.0003538825,0.0003538825,0.0003539,0.0003538825,0.00035389,0.0003538812,0.0003538875,0.0003538812,0.0003538787,0.0003538787,0.0003539025,0.0003538837,0.00035388,0.00035388,0.0003539075,0.0003538825,0.0003540688,0.0003538662,0.0003538825,0.0003538987,0.0003538812,0.0003538962,0.0003538888,0.0003538812,0.0003539275,0.0003538787,0.0003538788,0.0003538787,0.0003538775,0.00035388,0.0003538787,0.0003538975,0.0003540587,0.0003538837,0.0003538812,0.000353885,0.0003538975,0.000353885,0.0003539225,0.00035404,0.000353885,0.0003538625,0.0003538812,0.0003539225,0.0003538812,0.0003543163,0.00035388,0.0003538775,0.0003539012,0.0003539237,0.0003538812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.0008459175,0.0008473925,0.0008474663,0.0008482362,0.0008474,0.000847395,0.0008474113,0.0008474088,0.0008474,0.0008474112,0.0008474113,0.0008474112,0.0008493988,0.0008474137,0.0008473988,0.000847405,0.0008473912,0.0008498787,0.00084861,0.0008473988,0.0008474113,0.0008473963,0.0008476838,0.000847425,0.0008473987,0.0008480313,0.000847625,0.0008474025,0.0008473962,0.0008474125,0.0008474112,0.0008474113,0.0008474737,0.00084741,0.0008474088,0.0008473988,0.0008474537,0.0008478175,0.0008474,0.0008543038,0.0008474012,0.0008474088,0.0008474088,0.0008474,0.000847465,0.0008477175,0.0008474137,0.0008474113,0.0008473812,0.0008491162,0.0008474037,0.0008474075,0.0008474662,0.00084741,0.0008474,0.0008474125,0.0008474012,0.0008474787,0.0008474088,0.000847475,0.0008474262,0.0008474812,0.0008475775,0.0008474325,0.0008474013,0.0008474012,0.0008474138,0.0008474175,0.0008474088,0.0008474,0.0008474012,0.0008474125,0.0008473987,0.0008474112,0.0008474088,0.000847875,0.0008474237,0.0008478225,0.0008473825,0.0008474112,0.0008474,0.0008474138,0.0008480788,0.0008474125,0.0008476262,0.0008474025,0.0008474187,0.0008474125,0.0008473963,0.00084738,0.0008474113,0.0008474225,0.0008474113,0.0008474,0.0008474212,0.0008474075,0.0008474325,0.0008474125,0.000847405,0.0008474025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.0016513388,0.0016540637,0.0016540837,0.0016551175,0.0016541137,0.0016543763,0.0016543388,0.0016543287,0.001654105,0.0016543475,0.0016542,0.00165412,0.00165412,0.0016541825,0.001654085,0.00165412,0.0016541325,0.0016541125,0.0016541225,0.00165451,0.001654135,0.0016541163,0.0016541237,0.0016541188,0.0016561588,0.00165411,0.0016541288,0.00165413,0.0016548725,0.0016543,0.0016541312,0.0016541388,0.0016542112,0.0016545813,0.00165492,0.0016540987,0.0016543375,0.0016543587,0.00165412,0.0016541188,0.0016543075,0.0016549738,0.0016543963,0.0016541212,0.0016543125,0.00165464,0.0016540863,0.0016541112,0.001654325,0.0016541337,0.0016541675,0.0016550388,0.0016541375,0.00165412,0.0016541263,0.0016541313,0.0016542438,0.00165412,0.0016544013,0.001654105,0.0016540988,0.001654325,0.0016544062,0.001654105,0.0016542825,0.00165575,0.0016558513,0.0016543787,0.0016543325,0.0016541075,0.0016541237,0.0016555063,0.001654115,0.0016541187,0.0016541925,0.0016541463,0.001654155,0.0016541125,0.00165435,0.0016544413,0.001654345,0.00165411,0.001654075,0.001654105,0.001654135,0.0016542037,0.001654115,0.0016543188,0.0016559212,0.0016548675,0.0016541713,0.001654375,0.0016543275,0.0016541387,0.0016541413,0.0016547038,0.0016541063,0.0016544525,0.00165412,0.00165458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,0.00285533,0.00285515,0.0028537325,0.0028555725,0.002854775,0.00285471,0.0028552512,0.0028547112,0.0028528962,0.002853415,0.0028537525,0.0028555925,0.0028554713,0.0028555513,0.0028548587,0.0028536763,0.0028547862,0.0028549613,0.0028557537,0.0028541775,0.0028545225,0.0028540163,0.0028528737,0.0028538588,0.0028534525,0.0028529037,0.0028528813,0.0028528875,0.0028549838,0.002855405,0.0028554688,0.0028528938,0.00285594,0.00285534,0.0028549038,0.0028531488,0.0028528987,0.002853925,0.00285508,0.0028532625,0.0028550625,0.00285308,0.0028547712,0.0028553525,0.0028560037,0.002855285,0.0028547925,0.0028548463,0.0028553338,0.0028530225,0.002852905,0.002852885,0.0028529287,0.0028536638,0.002855505,0.002852865,0.0028535913,0.0028546825,0.0028528887,0.0028557288,0.0028549512,0.0028540775,0.002854725,0.0028553875,0.00285569,0.0028555687,0.0028529463,0.0028549838,0.002855475,0.0028529,0.0028545675,0.0028547925,0.00285573,0.00285335,0.00285367,0.0028556237,0.0028549988,0.0028542188,0.002855465,0.0028547788,0.0028548313,0.0028549713,0.002854905,0.0028533238,0.00285322,0.002854685,0.0028529,0.0028546738,0.0028551962,0.0028551525,0.0028529075,0.0028528775,0.0028545137,0.0028541437,0.002855225,0.0028529075,0.0028559062,0.0028550988,0.0028531087,0.0028551187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,0.0045328988,0.0045333512,0.0045317938,0.0045324475,0.0045335712,0.0045330712,0.0045320437,0.00453201,0.0045323687,0.0045306862,0.0045323863,0.0045317413,0.0045322475,0.0045317275,0.004531825,0.0045318925,0.0045326612,0.0045324325,0.0045307675,0.0045323112,0.0045324638,0.004532585,0.0045324687,0.0045331975,0.0045320025,0.004533425,0.004532495,0.004532545,0.0045323063,0.0045318475,0.0045321275,0.0045355462,0.0045325625,0.00453302,0.004533115,0.00453192,0.00453157,0.0045324575,0.004531915,0.0045322063,0.0045321987,0.0045321837,0.004533985,0.0045322463,0.00453249,0.0045324037,0.0045322037,0.0045321,0.0045319125,0.0045321188,0.0045321563,0.00453205,0.004533215,0.00453216,0.00453201,0.0045331387,0.0045323238,0.0045328262,0.0045327975,0.00453292,0.0045335025,0.00453187,0.0045327888,0.0045332313,0.0045330825,0.0045323137,0.0045326775,0.0045324787,0.004533315,0.00453206,0.0045324212,0.0045326025,0.0045316763,0.0045319175,0.0045313563,0.0045331462,0.004531955,0.0045328525,0.00453209,0.0045327512,0.0045318625,0.0045319375,0.0045331375,0.004532135,0.0045320212,0.0045324925,0.0045327387,0.0045331563,0.0045324988,0.0045324562,0.0045336087,0.0045322038,0.0045324137,0.0045322537,0.0045328538,0.0045340675,0.00453279,0.0045321887,0.0045328187,0.00453239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,0.0067660975,0.00676531,0.0067636113,0.0067641788,0.0067636775,0.006764265,0.00676457,0.0067671525,0.0067651975,0.0067637638,0.0067645125,0.0067635863,0.0067712337,0.0067645325,0.006764245,0.0067639537,0.0067634488,0.0067648175,0.006763435,0.0067637475,0.006763855,0.0067633075,0.0067647125,0.0067640338,0.00676424,0.0067641238,0.00676489,0.0067638425,0.006763335,0.0067645238,0.0067633488,0.0067641925,0.0067635262,0.006765055,0.0067640812,0.0067645912,0.0067644125,0.006764405,0.0067635938,0.0067636575,0.0067637612,0.0067641438,0.0067645987,0.0067637075,0.0067640925,0.0067634525,0.0067638862,0.0067646925,0.0067638963,0.0067641737,0.0067640575,0.0067646537,0.0067645188,0.0067639512,0.0067643925,0.00676437,0.0067658687,0.00676397,0.0067651575,0.0067649025,0.0067643563,0.0067641337,0.0067647587,0.0067635862,0.00676371,0.0067652587,0.0067643425,0.0067643663,0.0067635812,0.006765395,0.0067634887,0.0067634275,0.0067654687,0.006764425,0.006763575,0.0067644625,0.0067644675,0.006764465,0.0067638963,0.0067646225,0.0067651963,0.0067648337,0.0067639875,0.00676419,0.0067647038,0.006764805,0.00676445,0.0067653512,0.0067635175,0.006764755,0.0067632575,0.0067644512,0.0067632138,0.0067642825,0.0067635,0.0067636662,0.0067637587,0.0067644462,0.0067639537,0.0067638137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
