,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,,,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elementsize,,,Sample,0,Sample,1,Sample,2,Sample,3,Sample,4,Sample,5,Sample,6,Sample,7,Sample,8,Sample,9,Sample,10,Sample,11,Sample,12,Sample,13,Sample,14,Sample,15,Sample,16,Sample,17,Sample,18,Sample,19,Sample,20,Sample,21,Sample,22,Sample,23,Sample,24,Sample,25,Sample,26,Sample,27,Sample,28,Sample,29,Sample,30,Sample,31,Sample,32,Sample,33,Sample,34,Sample,35,Sample,36,Sample,37,Sample,38,Sample,39,Sample,40,Sample,41,Sample,42,Sample,43,Sample,44,Sample,45,Sample,46,Sample,47,Sample,48,Sample,49,Sample,50,Sample,51,Sample,52,Sample,53,Sample,54,Sample,55,Sample,56,Sample,57,Sample,58,Sample,59,Sample,60,Sample,61,Sample,62,Sample,63,Sample,64,Sample,65,Sample,66,Sample,67,Sample,68,Sample,69,Sample,70,Sample,71,Sample,72,Sample,73,Sample,74,Sample,75,Sample,76,Sample,77,Sample,78,Sample,79,Sample,80,Sample,81,Sample,82,Sample,83,Sample,84,Sample,85,Sample,86,Sample,87,Sample,88,Sample,89,Sample,90,Sample,91,Sample,92,Sample,93,Sample,94,Sample,95,Sample,96,Sample,97,Sample,98,Sample,99,Sample,100
10,,,0.0032205044,0.0032499394,0.0032842294,0.003302425,0.0033019981,0.0033114644,0.0033144244,0.0033211219,0.0033229456,0.0033234619,0.0033306706,0.0033441544,0.0033457269,0.0033721713,0.0033537656,0.0033662831,0.0033785381,0.0033802594,0.0033656106,0.0033844819,0.0033896331,0.0033807319,0.0033869481,0.0033919531,0.0033998144,0.0033888894,0.0033887319,0.0034041844,0.0033819344,0.0033969113,0.0034041006,0.0034122831,0.0034269031,0.0033807869,0.0033943981,0.0033941506,0.0034097206,0.0034117156,0.0033960944,0.0034038256,0.0034064106,0.0034050131,0.0034141819,0.0034284631,0.0034238506,0.0034228837,0.0034214969,0.0034215931,0.0033956694,0.0033926713,0.0034037469,0.0034241456,0.0034086831,0.0034324181,0.0034267482,0.0034297719,0.0034142669,0.0034194406,0.0034097844,0.0033879669,0.0033911969,0.0034133744,0.0034138981,0.0034146194,0.0034711869,0.0034181981,0.0034158269,0.0034298044,0.0034149256,0.0034378606,0.0034528856,0.0034411919,0.0034133331,0.0034143481,0.0034272569,0.0033947581,0.0034213756,0.0034222488,0.0034201269,0.0034307919,0.0034181281,0.0034223319,0.0034561569,0.0034236256,0.0034294969,0.0033998731,0.0033988519,0.0034134681,0.0034090644,0.0034141031,0.0034180219,0.0034376356,0.0034303356,0.0034457006,0.0034329081,0.0034211231,0.0034475281,0.0034294106,0.0034360219,0.0034575306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.0216613494,0.0217125281,0.0217005956,0.0217339556,0.0217123744,0.0217384106,0.0217474769,0.0217267906,0.0217409594,0.0217472494,0.0217700006,0.0217529744,0.0217428906,0.0217851669,0.0218057931,0.021764665,0.0217748519,0.0217731244,0.0217721481,0.0217656506,0.0217831919,0.0218200594,0.0217667156,0.0218071244,0.0217670044,0.0217799881,0.0217790256,0.0217843231,0.0217911044,0.0218200281,0.0218145206,0.0217858794,0.0217827456,0.0218317631,0.0218390081,0.0217968706,0.0217971294,0.0218118731,0.0218113869,0.0217899357,0.0218141956,0.0218187006,0.0218360119,0.0218146581,0.0218409431,0.0218693631,0.0218044456,0.0217966619,0.0218283206,0.0218070444,0.0218767256,0.0218442431,0.0218970931,0.0218439119,0.0218657575,0.0218561219,0.0218722106,0.0218580131,0.0218259669,0.0218349269,0.0218224194,0.0218476582,0.0218809081,0.0218416469,0.0218629894,0.0218675694,0.0218389844,0.0218652569,0.0218812969,0.0218662556,0.0218528006,0.0218907781,0.0218675544,0.0218404756,0.0218621706,0.0218640494,0.0219028212,0.0218787131,0.0218927262,0.0219134394,0.0218730794,0.0218934656,0.0218810894,0.0219027081,0.0219074156,0.0218847519,0.0218777406,0.0219097469,0.0219261394,0.0218825569,0.0218850569,0.0219198269,0.0218849206,0.0218724787,0.0219084181,0.0219591213,0.0218990519,0.0218999381,0.0219363206,0.0218930319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.0640201394,0.0639787288,0.0640338144,0.0640928769,0.0640748094,0.0640798719,0.0640137119,0.0640873869,0.0640349719,0.0640417006,0.06403998,0.0640442187,0.0640480094,0.0640195213,0.0640541025,0.0640088575,0.0640419025,0.0640774569,0.064105495,0.0641087044,0.0641401238,0.0640895038,0.0640525263,0.0640802394,0.0641222769,0.0640721,0.0640500075,0.0640458069,0.0641283369,0.0640792406,0.0640869525,0.0641041344,0.0641801731,0.0640360038,0.0641085144,0.0640605,0.06411951,0.0640872294,0.0640610881,0.0640783025,0.0640859175,0.0640742031,0.0641179438,0.0641144962,0.064086555,0.0640921644,0.0641506575,0.0640823081,0.0640562625,0.0641021294,0.0641044494,0.0640831231,0.0640829331,0.0641306694,0.0641049419,0.0640720975,0.064167255,0.0641502206,0.0640864069,0.0641359363,0.0640916262,0.0641006919,0.064143445,0.0641639638,0.0641365544,0.0641227131,0.0642121319,0.0642568644,0.0640641081,0.0641250444,0.0640865637,0.0641808769,0.0641333862,0.0641604475,0.0641311313,0.0641828032,0.0641544675,0.064163475,0.0641204463,0.0641475194,0.0641169106,0.0641422356,0.0641951025,0.0641767875,0.0641543194,0.0641649562,0.0641586469,0.064181825,0.0642048925,0.064233465,0.0642518206,0.0641569313,0.06422659,0.064250235,0.0641902656,0.0642183169,0.06421258,0.0641991269,0.0642066988,0.0642163437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.1288346563,0.1286503438,0.1289069525,0.1289746175,0.1289816025,0.12905107,0.1289887412,0.1289391337,0.1289712662,0.1289177487,0.1289774975,0.1290127675,0.1290136525,0.1290019988,0.1289729038,0.12902055,0.1290130875,0.1290057063,0.1289841987,0.1290700087,0.129023465,0.1289568938,0.129110865,0.1291873625,0.1289899812,0.1290227488,0.1290321425,0.1289849162,0.1290912588,0.1290879875,0.1290735675,0.1291682025,0.129106515,0.1291117325,0.1290969238,0.1291174387,0.12905418,0.1290883688,0.12915944,0.1291624325,0.12914365,0.1293024875,0.129131625,0.1291931013,0.1291988762,0.12924957,0.12921968,0.129268635,0.1292600475,0.129303495,0.1292041413,0.129286365,0.1293094538,0.12933659,0.1292756462,0.129371905,0.1293645363,0.1292865125,0.129308365,0.1293601388,0.1292816937,0.1293941138,0.12943208,0.1294661187,0.1294502212,0.1295721725,0.129472575,0.1294942513,0.1295096,0.1294734075,0.1294114962,0.1294771938,0.129484025,0.1295363825,0.1295368988,0.1296028,0.1295372975,0.1295755187,0.1295868637,0.1297005813,0.129593205,0.12963606,0.1296040237,0.12971541,0.129667345,0.1296352225,0.1296308388,0.1297134425,0.1297021575,0.12963588,0.12978515,0.1297715487,0.1296607612,0.1297426725,0.1297841325,0.1298249275,0.1297561562,0.1298088,0.12973613,0.1297966488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,0.2441551288,0.2446654662,0.2436766037,0.2439924987,0.2439185188,0.243851705,0.243836435,0.2438964038,0.2447736075,0.2444914562,0.2446842687,0.2439378725,0.2438999188,0.2440605788,0.2441636825,0.2440609475,0.243973805,0.2440728375,0.2440375463,0.244109345,0.2440147475,0.24393144,0.2438420062,0.2440876125,0.2441744269,0.243959585,0.2441199225,0.2440411962,0.2442562875,0.2441173725,0.2441563725,0.2442779212,0.244081445,0.2441586675,0.2441349337,0.2440547188,0.244083105,0.24430523,0.2440697963,0.2443692238,0.24423832,0.2443033137,0.2443349625,0.244189115,0.244336595,0.2443671262,0.2443323487,0.244260775,0.2442878287,0.2443495475,0.2441523225,0.2445113613,0.2440201587,0.2444452175,0.2443763925,0.2446352225,0.244170125,0.24434922,0.2442786788,0.2441552338,0.2445395038,0.2444298688,0.2443574913,0.244298005,0.2443402463,0.2444856162,0.2444586125,0.2442864112,0.2443158713,0.2443390475,0.244314535,0.2445228225,0.2443878637,0.2444252375,0.2445114025,0.2443783325,0.2443959912,0.2444657738,0.244444785,0.2444234587,0.24455262,0.2446104825,0.24430259,0.2443367512,0.2443771325,0.2444449888,0.2445507825,0.2446711575,0.2445435475,0.244444215,0.2445675638,0.2444454263,0.24443904,0.2445559575,0.244687275,0.2445227625,0.2444220825,0.2447925825,0.244689855,0.2447485175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,0.218109425,0.218101785,0.2182691675,0.2181346187,0.2181877125,0.2182171425,0.218220375,0.2182214,0.21824892,0.2183078488,0.2182715863,0.2182760925,0.2183166525,0.2183058375,0.2182811962,0.2183233837,0.2182910075,0.2183125138,0.2183370075,0.21833012,0.2183739975,0.2183552763,0.2184587587,0.2184186887,0.2183896675,0.2183822175,0.218381585,0.2184366525,0.2183805175,0.2185314675,0.218453025,0.2184353975,0.2184511887,0.218452935,0.2184422925,0.21846684,0.21851337,0.2184935725,0.2186016562,0.2185341725,0.2185417425,0.2185444725,0.2187659637,0.218592515,0.218581745,0.2185737825,0.2187304237,0.2186439175,0.2188738987,0.2186274587,0.218663535,0.2186559225,0.2186632425,0.218660925,0.2187087775,0.2187116675,0.218707695,0.218695335,0.218687685,0.21871896,0.2187462975,0.2187659225,0.2188851812,0.2187879075,0.2188251525,0.218818305,0.218871705,0.2188867838,0.218817765,0.2188353112,0.21884999,0.2189725388,0.218877525,0.2188686088,0.2188725375,0.2188824262,0.218879595,0.2188639637,0.218903175,0.2189986313,0.2189249925,0.218945495,0.21896237,0.21896502,0.2189897263,0.2192163375,0.2189571375,0.2189487225,0.2189748187,0.2189544587,0.2189454563,0.2189918262,0.21898143,0.219017955,0.219005805,0.21898317,0.2189962125,0.21900043,0.21902994,0.219040695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,0.2986169363,0.29825016,0.2984460012,0.2983684613,0.2983253025,0.298511745,0.2984356275,0.2984359612,0.2984296725,0.2985330225,0.2984371238,0.298404645,0.298480485,0.2984657713,0.2988218588,0.2984072062,0.2984489175,0.298492565,0.2985111575,0.29854992,0.2984824125,0.2985227087,0.298506045,0.2985771375,0.2985547125,0.2985638175,0.2985621,0.2986538413,0.2985249225,0.2987721162,0.2985883912,0.298695915,0.2985833775,0.29863734,0.298614465,0.2986055925,0.2987172863,0.2986791713,0.2987670225,0.2988865838,0.298805355,0.2987429625,0.2987963175,0.2986739538,0.2987078412,0.2987988575,0.298717695,0.2989047863,0.2989253512,0.298671405,0.2987183475,0.2987296725,0.29882637,0.2988261037,0.2990112487,0.2988045675,0.2987677125,0.2988604763,0.298739035,0.29874378,0.2987671125,0.2987298487,0.2987991225,0.29883492,0.2988480675,0.2992780263,0.2989959563,0.2988062325,0.29874423,0.29877462,0.2988144975,0.2989313925,0.2989679287,0.29927376,0.2988420075,0.298805655,0.2988666825,0.29895192,0.2989199475,0.2991194813,0.2988520725,0.2991071363,0.2993435912,0.2988897675,0.29882565,0.2989117087,0.2989140437,0.29938176,0.2990791812,0.29890477,0.2991058875,0.2990352325,0.29895987,0.2989610025,0.2989685025,0.2990204562,0.2989972962,0.299040405,0.298994315,0.2989732125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
