,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,,,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elementsize,,,Sample,0,Sample,1,Sample,2,Sample,3,Sample,4,Sample,5,Sample,6,Sample,7,Sample,8,Sample,9,Sample,10,Sample,11,Sample,12,Sample,13,Sample,14,Sample,15,Sample,16,Sample,17,Sample,18,Sample,19,Sample,20,Sample,21,Sample,22,Sample,23,Sample,24,Sample,25,Sample,26,Sample,27,Sample,28,Sample,29,Sample,30,Sample,31,Sample,32,Sample,33,Sample,34,Sample,35,Sample,36,Sample,37,Sample,38,Sample,39,Sample,40,Sample,41,Sample,42,Sample,43,Sample,44,Sample,45,Sample,46,Sample,47,Sample,48,Sample,49,Sample,50,Sample,51,Sample,52,Sample,53,Sample,54,Sample,55,Sample,56,Sample,57,Sample,58,Sample,59,Sample,60,Sample,61,Sample,62,Sample,63,Sample,64,Sample,65,Sample,66,Sample,67,Sample,68,Sample,69,Sample,70,Sample,71,Sample,72,Sample,73,Sample,74,Sample,75,Sample,76,Sample,77,Sample,78,Sample,79,Sample,80,Sample,81,Sample,82,Sample,83,Sample,84,Sample,85,Sample,86,Sample,87,Sample,88,Sample,89,Sample,90,Sample,91,Sample,92,Sample,93,Sample,94,Sample,95,Sample,96,Sample,97,Sample,98,Sample,99,Sample,100
10,,,1.14993599709123E-05,1.14931317511946E-05,1.16193841677159E-05,1.1563126463443E-05,1.15293660201132E-05,1.15918810479343E-05,1.15131260827184E-05,1.15118746180087E-05,1.15206348709762E-05,1.15181028377265E-05,1.15193543024361E-05,1.15093716885895E-05,1.15131260827184E-05,1.15106231532991E-05,1.15168804768473E-05,1.15193834062666E-05,1.17106246761978E-05,1.17381277959794E-05,1.15818693302572E-05,1.15168513730168E-05,1.15093716885895E-05,1.15156290121377E-05,1.15406292025E-05,1.14968861453235E-05,1.15106231532991E-05,1.15393777377903E-05,1.15456059575081E-05,1.15481379907578E-05,1.15656293928623E-05,1.14956055767834E-05,1.1566880857572E-05,1.16631272248924E-05,1.15506409201771E-05,1.15131260827184E-05,1.15156290121377E-05,1.14893773570657E-05,1.15293660201132E-05,1.1664378689602E-05,1.16881274152547E-05,1.1566880857572E-05,1.15381262730807E-05,1.15243892651051E-05,1.1526863090694E-05,1.11706322059035E-05,1.15968578029424E-05,1.15093716885895E-05,1.16256414912641E-05,1.15843722596765E-05,1.15443544927984E-05,1.15081202238798E-05,1.15106231532991E-05,1.15318689495325E-05,1.16518640425056E-05,1.15131260827184E-05,1.15131260827184E-05,1.14931026473641E-05,1.15018629003316E-05,1.17693853098899E-05,1.14931026473641E-05,1.16531155072153E-05,1.15206348709762E-05,1.15118746180087E-05,1.1488125892356E-05,1.15293660201132E-05,1.17406307253987E-05,1.15156290121377E-05,1.15106522571296E-05,1.14931317511946E-05,1.16880983114243E-05,1.14668509922922E-05,1.13281130325049E-05,1.15056172944605E-05,1.15118746180087E-05,1.15956063382328E-05,1.16731389425695E-05,1.15093716885895E-05,1.15193834062666E-05,1.15094007924199E-05,1.15106231532991E-05,1.12156267277896E-05,1.15018629003316E-05,1.15006405394524E-05,1.14943541120738E-05,1.15118746180087E-05,1.15193543024361E-05,1.15531147457659E-05,1.15081202238798E-05,1.14993599709123E-05,1.15243601612747E-05,1.15081202238798E-05,1.17231102194637E-05,1.15418515633792E-05,1.15256407298148E-05,1.1514377547428E-05,1.13056448753923E-05,1.13056448753923E-05,1.15131260827184E-05,1.15018629003316E-05,1.10981345642358E-05,1.16743613034487E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,3.58581310138106E-05,3.57831013388932E-05,3.59518744517118E-05,3.5516859497875E-05,3.5914359614253E-05,3.59456171281636E-05,3.57831304427236E-05,3.58068791683763E-05,3.58018733095378E-05,3.57756216544658E-05,3.53381037712097E-05,3.5680626751855E-05,3.58368852175772E-05,3.57443641405553E-05,3.57918615918606E-05,3.58118559233844E-05,3.58231191057712E-05,3.5733130061999E-05,3.58456163667142E-05,3.59381374437362E-05,3.59043770004064E-05,3.59181431122124E-05,3.55268712155521E-05,3.56606324203312E-05,3.5865610698238E-05,3.59493715222925E-05,3.57381068170071E-05,3.5804376238957E-05,3.6090612411499E-05,3.58693650923669E-05,3.57681419700384E-05,3.57305980287492E-05,3.5790610127151E-05,3.5804376238957E-05,3.55293741449714E-05,3.57893586624414E-05,3.58768738806248E-05,3.58581019099802E-05,3.579564508982E-05,3.59281257260591E-05,3.58143879566342E-05,3.56706150341779E-05,3.59418918378651E-05,3.58006218448281E-05,3.59081313945353E-05,3.57555982191116E-05,3.59656405635178E-05,3.5856879549101E-05,3.57868557330221E-05,4.86181234009564E-05,3.58093820977956E-05,3.55143856722861E-05,3.58068791683763E-05,3.57831304427236E-05,3.55118827428669E-05,3.55218653567135E-05,3.58068791683763E-05,3.59506229870021E-05,3.59280966222286E-05,3.55893571395427E-05,3.58168908860534E-05,3.5614357329905E-05,3.55156080331653E-05,3.60006233677268E-05,3.57706157956272E-05,3.57993703801185E-05,3.59818805009127E-05,3.53218638338149E-05,3.57781245838851E-05,3.59093537554145E-05,3.57668905053288E-05,3.60543781425804E-05,5.74881269130856E-05,3.58805991709232E-05,3.58143879566342E-05,3.59268742613494E-05,3.60231206286699E-05,6.64518738631159E-05,3.57843819074333E-05,3.58781253453344E-05,3.58981196768582E-05,3.5733130061999E-05,3.5790610127151E-05,3.57756216544658E-05,3.57893586624414E-05,3.59156110789627E-05,3.57993703801185E-05,3.57568787876517E-05,3.5816861782223E-05,3.58931138180196E-05,3.55743686668575E-05,3.57968674506992E-05,3.5883131204173E-05,3.56143864337355E-05,3.59556288458407E-05,3.58018733095378E-05,3.59206169378012E-05,3.58206452801824E-05,3.57893586624414E-05,3.58856341335922E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,8.26143659651279E-05,8.27731273602694E-05,8.25168681330979E-05,8.28493793960661E-05,8.26806353870779E-05,9.57593729253858E-05,8.27268813736737E-05,8.27956246212125E-05,8.27093608677387E-05,8.28581105452031E-05,8.27956246212125E-05,8.23543814476579E-05,8.26318864710629E-05,8.28618940431625E-05,8.24181188363582E-05,8.26556351967156E-05,8.29406199045479E-05,8.27906187623739E-05,8.27306357678026E-05,8.28968768473715E-05,8.27868934720755E-05,8.28062475193292E-05,8.27181211207062E-05,9.09843947738409E-05,8.27418698463589E-05,8.27881449367851E-05,8.27193725854158E-05,8.27281328383833E-05,8.27356125228107E-05,8.25131428427994E-05,8.2751881564036E-05,8.27856420073658E-05,8.27831390779465E-05,8.27143667265773E-05,8.27768526505679E-05,8.27393960207701E-05,8.28306074254215E-05,8.28806369099766E-05,8.27693729661405E-05,8.27156472951174E-05,8.27243784442544E-05,8.26093892101198E-05,8.28531046863645E-05,8.28193733468652E-05,8.27593903522939E-05,8.2764367107302E-05,8.27331386972219E-05,8.27756302896887E-05,8.25693714432418E-05,8.2751881564036E-05,8.28668707981706E-05,8.26881150715053E-05,8.25068855192512E-05,8.27843905426562E-05,8.2729384303093E-05,8.27906187623739E-05,8.2786864368245E-05,8.27093899715692E-05,8.27606418170035E-05,8.27406183816493E-05,8.28843622002751E-05,8.26406467240304E-05,8.28281335998327E-05,8.26656178105623E-05,0.0001161456,8.29493801575154E-05,8.27837502583861E-05,8.27768817543983E-05,8.28656193334609E-05,8.28631164040417E-05,8.27331095933914E-05,0.0001108669,8.26906180009246E-05,0.0001202731,8.26943723950535E-05,8.26818868517876E-05,8.27331386972219E-05,8.27318872325122E-05,8.24618618935347E-05,8.27493786346167E-05,8.29206255730242E-05,8.28243792057037E-05,8.25906172394753E-05,8.25856113806367E-05,8.23706213850528E-05,8.27356125228107E-05,8.27768817543983E-05,8.27506300993264E-05,8.27443727757782E-05,8.28281335998327E-05,8.28906486276537E-05,8.24843882583082E-05,8.28018528409302E-05,8.27418698463589E-05,8.26068862807006E-05,8.26043833512813E-05,8.2636863226071E-05,8.2725629908964E-05,8.27968760859221E-05,8.27206240501255E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.0001601831,0.0001602119,0.0001601944,0.0001600281,0.0001602081,0.0001605319,0.0001601856,0.0001599094,0.0001599906,0.0001600694,0.0001600156,0.0001602481,0.0001600031,0.0001601944,0.0001601719,0.0001605131,0.0001603981,0.0001600494,0.0001601544,0.0001598394,0.0001600594,0.0001602281,0.0001598494,0.0001598006,0.0001602169,0.0001601081,0.0001599944,0.0001601056,0.0001602406,0.0001599906,0.0001602944,0.0001602931,0.0001598231,0.0001601369,0.0001599656,0.0001601269,0.0001604281,0.0001601781,0.0001601719,0.0001602294,0.0001599269,0.0001600144,0.0001602806,0.0001599706,0.0001602544,0.0001603644,0.0001604094,0.0001601906,0.0001599794,0.0001597506,0.0001600256,0.0001603869,0.0001604069,0.0001605031,0.0001603244,0.0001601894,0.0001602069,0.0001603281,0.0001602606,0.0001602731,0.0001600719,0.0001638581,0.0001601619,0.0001600044,0.0001601694,0.0001601556,0.0001600894,0.0001602156,0.0001601294,0.0001601144,0.0001604231,0.0001601381,0.0001600681,0.0001601669,0.0001601519,0.0001602731,0.0001601856,0.0001601069,0.0001601256,0.0001601619,0.0001601244,0.0001602806,0.0001753519,0.0001602406,0.0001602306,0.0001601744,0.0001599806,0.0001602719,0.0001600869,0.0001601819,0.0001601194,0.0001601969,0.0001599794,0.0001599769,0.0001602744,0.0001599856,0.0001772056,0.0001601681,0.0001600556,0.0001605281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,0.0002758356,0.0002759056,0.0002757344,0.0002757819,0.0002759194,0.0002757706,0.0002763481,0.0002756444,0.0002755256,0.0002756631,0.0002755731,0.0002754619,0.0002758206,0.0002759619,0.0002758894,0.0002754519,0.0002756481,0.0002756519,0.0002756694,0.0002755831,0.0002756769,0.0002758619,0.0002757869,0.0002758194,0.0002760756,0.0002757944,0.0002754444,0.0002757294,0.0002753469,0.0002758056,0.0002756181,0.0002755744,0.0002755006,0.0002757806,0.0002765781,0.0002756544,0.0002756319,0.0002756444,0.0002756344,0.0002758656,0.0002756681,0.0002754456,0.0002757906,0.0002757381,0.0002753269,0.0002754919,0.0002760919,0.0002756356,0.0002756894,0.0002760144,0.0002756594,0.0002757794,0.0002757406,0.0002757469,0.0002771069,0.0002755681,0.0002757356,0.0002756419,0.0002756569,0.0002758231,0.0002757669,0.0002756944,0.0002761156,0.0002757281,0.0002756156,0.0002756031,0.0002756119,0.0002757569,0.0002766219,0.0002756444,0.0002756269,0.0002760331,0.0002758094,0.0002758756,0.0002755806,0.0002758431,0.0002765488,0.0002760231,0.0002759044,0.0002758169,0.0002765519,0.0002764319,0.0002758569,0.0002756319,0.0002756644,0.0002756794,0.0002757869,0.0002753381,0.0002756356,0.0002756431,0.0002756344,0.0002758444,0.0002754194,0.0002757456,0.0002755919,0.0002756856,0.0002763831,0.0002756831,0.0002754956,0.0002757031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,0.0004369156,0.0004373269,0.0004371769,0.0004376656,0.0004372344,0.0004374731,0.0004374631,0.0004373081,0.0004373306,0.0004371606,0.0004369969,0.0004374469,0.0004370556,0.0004370031,0.0004369544,0.0004374431,0.0004369894,0.0004371281,0.0004373394,0.0004371469,0.0004370931,0.0004369656,0.0004371081,0.000438,0.0004372581,0.0004369981,0.0004373644,0.0004372294,0.0004370819,0.0004372206,0.0004372281,0.0004370519,0.0004370919,0.0004370806,0.0004369169,0.0004370694,0.0004372094,0.0004375219,0.0004368156,0.0004371256,0.0004368944,0.0004369819,0.0004373944,0.0004379769,0.0004372456,0.0004373619,0.0004372144,0.0004371544,0.0004373419,0.0004369819,0.0004370756,0.0004371669,0.0004372294,0.0004369444,0.0004367519,0.0004370656,0.0004374056,0.0004370794,0.0004369481,0.0004370506,0.0004372044,0.0004372081,0.0004373456,0.0004372381,0.0004367956,0.0004377181,0.0004377306,0.0004372594,0.0004374456,0.0004381119,0.0004380694,0.0004371181,0.0004371569,0.0004380906,0.0004371256,0.0004371994,0.0004369694,0.0004370919,0.0004369519,0.0004372194,0.0004368306,0.0004369981,0.0004372144,0.0004376381,0.0004371119,0.0004369994,0.0004366719,0.0004371106,0.0004369806,0.0004370419,0.0004372206,0.0004368394,0.0004371019,0.0004368481,0.0004370331,0.0004373194,0.0004374581,0.0004371694,0.0004371369,0.0004371019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,0.0006518481,0.0006515581,0.0006518369,0.0006520331,0.0006516831,0.0006520606,0.0006518294,0.0006519156,0.0006514969,0.0006520056,0.0006516044,0.0006524119,0.0006515431,0.0006517081,0.0006522056,0.0006518206,0.0006516719,0.0006513731,0.0006517081,0.0006515919,0.0006516881,0.0006515169,0.0006515606,0.0006529394,0.0006512731,0.0006516781,0.0006513544,0.0006515756,0.0006516494,0.0006525019,0.0006517056,0.0006524356,0.0006520869,0.0006517544,0.0006513294,0.0006524556,0.0006519381,0.0006522356,0.0006516306,0.0006519031,0.0006518594,0.0006514519,0.0006516644,0.0006514956,0.0006525431,0.0006513556,0.0006518556,0.0006517856,0.0006515931,0.0006517344,0.0006513631,0.0006516056,0.0006513206,0.0006517606,0.0006519444,0.0006513481,0.0006514519,0.0006514894,0.0006515456,0.0006517969,0.0006515644,0.0006515813,0.0006515369,0.0006514469,0.0006511956,0.0006520281,0.0006518406,0.0006515456,0.0006516231,0.0006517919,0.0006514306,0.0006518156,0.0006518069,0.0006513094,0.0006512919,0.0006523806,0.0006511731,0.0006521519,0.0006515481,0.0006518406,0.0006512594,0.0006518806,0.0006521644,0.0006515981,0.0006522656,0.0006513381,0.0006513494,0.0006513006,0.0006516319,0.0006517706,0.0006516719,0.0006517906,0.0006517106,0.0006515881,0.0006519206,0.0006515619,0.0006512394,0.0006517994,0.0006516519,0.0006516706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
