,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,,,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elementsize,,,Sample,0,Sample,1,Sample,2,Sample,3,Sample,4,Sample,5,Sample,6,Sample,7,Sample,8,Sample,9,Sample,10,Sample,11,Sample,12,Sample,13,Sample,14,Sample,15,Sample,16,Sample,17,Sample,18,Sample,19,Sample,20,Sample,21,Sample,22,Sample,23,Sample,24,Sample,25,Sample,26,Sample,27,Sample,28,Sample,29,Sample,30,Sample,31,Sample,32,Sample,33,Sample,34,Sample,35,Sample,36,Sample,37,Sample,38,Sample,39,Sample,40,Sample,41,Sample,42,Sample,43,Sample,44,Sample,45,Sample,46,Sample,47,Sample,48,Sample,49,Sample,50,Sample,51,Sample,52,Sample,53,Sample,54,Sample,55,Sample,56,Sample,57,Sample,58,Sample,59,Sample,60,Sample,61,Sample,62,Sample,63,Sample,64,Sample,65,Sample,66,Sample,67,Sample,68,Sample,69,Sample,70,Sample,71,Sample,72,Sample,73,Sample,74,Sample,75,Sample,76,Sample,77,Sample,78,Sample,79,Sample,80,Sample,81,Sample,82,Sample,83,Sample,84,Sample,85,Sample,86,Sample,87,Sample,88,Sample,89,Sample,90,Sample,91,Sample,92,Sample,93,Sample,94,Sample,95,Sample,96,Sample,97,Sample,98,Sample,99,Sample,100
10,,,2.15262407436967E-05,0.000021235,2.13774910662323E-05,2.14681203942746E-05,2.14837491512299E-05,2.14974861592054E-05,2.16887274291366E-05,2.16912303585559E-05,0.000021485,2.14925094041973E-05,2.14574974961579E-05,2.14525207411498E-05,2.1488725906238E-05,2.53181206062436E-05,2.14862520806491E-05,2.1467509213835E-05,2.14724859688431E-05,2.14975152630359E-05,0.00002149,2.1481275325641E-05,0.00002148,2.14925094041973E-05,2.1687475964427E-05,0.00002148,2.14975152630359E-05,0.00002149,0.00002148,0.00002148,2.15162290260196E-05,2.14681203942746E-05,2.1493760868907E-05,2.151625812985E-05,2.17112537939101E-05,2.15062464121729E-05,0.000021495,0.000021495,2.15125037357211E-05,2.15125037357211E-05,0.00002152,2.15125037357211E-05,2.15025211218745E-05,0.000021515,2.17425113078207E-05,2.1502492018044E-05,2.15187610592693E-05,2.15056352317333E-05,2.15012405533344E-05,2.15025211218745E-05,2.177624264732E-05,2.17606138903648E-05,2.17625056393445E-05,2.15812469832599E-05,0.000021805,2.1617510356009E-05,2.15937325265259E-05,2.16062471736222E-05,2.15812469832599E-05,2.1591258700937E-05,2.17724882531911E-05,2.15712643694133E-05,0.000021615,2.1591258700937E-05,2.15812469832599E-05,2.15812469832599E-05,2.15824984479696E-05,0.00002157,2.1568761439994E-05,2.15737672988325E-05,2.1563726477325E-05,2.15775216929615E-05,2.15574982576072E-05,2.15574982576072E-05,2.1741259843111E-05,2.15312466025352E-05,0.00002153,2.15312466025352E-05,2.15262407436967E-05,2.1538115106523E-05,0.00002154,0.000021515,2.15337495319545E-05,2.15125037357211E-05,2.14974861592054E-05,2.14824976865202E-05,2.14875035453588E-05,2.14662577491254E-05,2.14724859688431E-05,2.14687315747142E-05,2.14687606785446E-05,2.14462634176016E-05,2.14212632272392E-05,2.14212632272392E-05,2.14337487705052E-05,2.14212632272392E-05,2.13987659662962E-05,0.000021605,2.13987368624657E-05,2.13775201700628E-05,0.00002137,0.00002135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,7.09431187715381E-05,7.10056337993592E-05,7.103435928002E-05,7.11268803570419E-05,7.11556349415332E-05,7.11768516339362E-05,7.11768516339362E-05,7.11768807377666E-05,7.13793851900846E-05,7.11468746885657E-05,7.13918707333505E-05,7.12031323928386E-05,7.14293855708092E-05,7.12231267243624E-05,7.14181223884225E-05,0.00007139,7.14118941687047E-05,7.14181514922529E-05,7.14343623258173E-05,7.13781337253749E-05,7.13881163392216E-05,7.13781046215445E-05,7.15318892616779E-05,7.12206237949431E-05,7.11831089574844E-05,7.12168694008142E-05,7.14243797119707E-05,7.11831380613148E-05,7.11718748789281E-05,7.14018533471972E-05,7.12468754500151E-05,7.14606139808893E-05,7.1449379902333E-05,7.14606430847198E-05,7.14431225787848E-05,7.14506022632122E-05,7.12568871676922E-05,7.14656198397279E-05,7.1250629844144E-05,7.12443725205958E-05,7.14443740434945E-05,7.1435613790527E-05,7.12506007403135E-05,7.14468769729137E-05,7.12331384420395E-05,7.14343623258173E-05,7.1241898695007E-05,7.1435613790527E-05,7.14193738531321E-05,7.12168694008142E-05,7.14206253178418E-05,7.1435613790527E-05,7.14556372258812E-05,7.14468769729137E-05,7.12662294972688E-05,7.16643698979169E-05,7.14418711140752E-05,7.12356122676283E-05,7.12556357029825E-05,7.12481269147247E-05,7.1250629844144E-05,7.12518522050232E-05,7.14418711140752E-05,7.12356122676283E-05,7.14318885002285E-05,7.14468769729137E-05,7.12343899067491E-05,7.14268535375595E-05,7.14243797119707E-05,7.14118941687047E-05,7.14118941687047E-05,7.13856134098023E-05,7.13893678039312E-05,7.11893662810326E-05,7.13843910489231E-05,7.11968750692904E-05,7.11925094947219E-05,7.12293549440801E-05,7.14274938218296E-05,7.15581409167498E-05,7.12168694008142E-05,7.12193723302334E-05,7.14156485628337E-05,7.12043838575482E-05,7.14194029569626E-05,7.12143664713949E-05,7.142688264139E-05,7.14343623258173E-05,7.13756307959557E-05,7.15081114321947E-05,7.11943721398711E-05,7.11993779987097E-05,7.13968765921891E-05,0.00007117,7.11706234142184E-05,7.1497488534078E-05,7.13581393938512E-05,7.13556364644319E-05,7.13531335350126E-05,7.11593893356621E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.0001674606,0.0001675225,0.0001675019,0.0001676069,0.0001676169,0.0001677019,0.0001676106,0.0001676356,0.0001675231,0.0001674394,0.000167725,0.0001676875,0.0001673044,0.0001679225,0.0001677462,0.0001677012,0.0001676687,0.0001675831,0.0001676588,0.0001676669,0.000167715,0.00016771,0.0001673675,0.0001676844,0.0001678594,0.0001677462,0.0001676762,0.0001676294,0.0001676619,0.0001676331,0.0001676925,0.0001678631,0.0001676919,0.0001677125,0.0001676669,0.0001677025,0.0001677312,0.0001675106,0.0001676619,0.0001677137,0.0001677387,0.0001678769,0.0001676863,0.0001676875,0.000167715,0.0001676906,0.0001678188,0.0001677331,0.0001676738,0.0001676869,0.0001676556,0.0001676894,0.0001675706,0.0001677306,0.0001677494,0.0001677162,0.0001677225,0.0001677069,0.0001677256,0.000167715,0.0001734375,0.0001677044,0.000167685,0.0001677362,0.0001676969,0.0001677231,0.0001675844,0.0001676744,0.0001674731,0.0001677194,0.0001676925,0.0001676756,0.0001676563,0.0001676638,0.0001675375,0.0001676656,0.0001677187,0.000167675,0.000167815,0.0001677331,0.0001676419,0.0001677206,0.0001676588,0.00016766,0.0001672731,0.0001678188,0.0001675644,0.000167695,0.0001676638,0.0001677188,0.0001677006,0.0001676887,0.0001676038,0.0001678088,0.0001676819,0.0001676356,0.0001678775,0.0001672669,0.0001676487,0.00016762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.000326005,0.0003260025,0.0003260312,0.0003260675,0.00032623,0.0003261263,0.0003261275,0.0003260963,0.00032614,0.0003261162,0.0003261275,0.0003261162,0.00032617,0.0003262425,0.000326165,0.0003261475,0.0003261537,0.000326165,0.0003261638,0.0003261662,0.0003261375,0.0003261562,0.0003261388,0.0003261475,0.0003261775,0.0003261638,0.0003261613,0.0003261613,0.0003261338,0.0003261263,0.00032619,0.00032619,0.0003261787,0.0003261962,0.0003261612,0.0003262037,0.0003261888,0.0003261987,0.0003261175,0.0003261875,0.0003262575,0.0003261888,0.0003261888,0.0003261987,0.0003261662,0.000326245,0.0003261812,0.0003261775,0.0003261575,0.0003261562,0.0003261662,0.0003261838,0.0003261975,0.00032621,0.00032628,0.0003261887,0.000326175,0.0003261712,0.0003261675,0.0003261425,0.0003262263,0.0003261962,0.0003261875,0.0003261813,0.00032627,0.000326195,0.0003261862,0.0003261662,0.0003261425,0.0003261338,0.0003261588,0.0003261,0.0003261312,0.0003261238,0.0003261437,0.0003261087,0.00032614,0.000326165,0.0003261312,0.0003261562,0.0003261587,0.0003261687,0.0003261488,0.000326155,0.0003262275,0.0003261675,0.0003261912,0.0003261863,0.00032615,0.0003261425,0.0003261725,0.00032621,0.0003260925,0.0003261238,0.00032615,0.0003261125,0.0003261137,0.0003261025,0.0003261012,0.0003260963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,0.0005623737,0.0005624112,0.00056239,0.0005625112,0.0005624237,0.0005623962,0.000562475,0.0005625137,0.000562515,0.0005624813,0.0005624212,0.00056253,0.0005625125,0.0005625512,0.000562555,0.0005624825,0.0005624338,0.0005625188,0.00056248,0.00056255,0.0005625,0.0005625438,0.0005625237,0.0005624925,0.0005626125,0.0005625475,0.0005625438,0.0005625175,0.0005625487,0.0005624975,0.0005625975,0.000562545,0.0005625437,0.0005625738,0.0005625463,0.0005625325,0.0005625137,0.0005625075,0.0005624737,0.0005626938,0.0005625775,0.0005626212,0.0005625337,0.000562525,0.0005625112,0.0005625237,0.0005625325,0.0005626125,0.0005625488,0.0005625075,0.000562515,0.0005625937,0.0005626063,0.0005625375,0.00056258,0.0005625237,0.0005625488,0.0005625137,0.0005624675,0.0005624212,0.0005626325,0.000562525,0.0005625687,0.0005625237,0.0005624762,0.0005625225,0.0005624625,0.0005625287,0.000562525,0.0005625325,0.0005625112,0.0005625287,0.0005624775,0.000562495,0.00056248,0.0005625087,0.0005625088,0.0005625725,0.0005626087,0.0005625088,0.0005625162,0.0005625763,0.0005624975,0.0005625825,0.0005625312,0.00056257,0.0005625175,0.0005625363,0.0005625287,0.0005625275,0.0005625288,0.0005625325,0.0005625225,0.0005624538,0.000562465,0.0005624938,0.0005624725,0.000562535,0.0005627225,0.0005624363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,0.0008922962,0.0008924625,0.0008924912,0.0008924938,0.0008927325,0.0008926875,0.0008926225,0.000892645,0.0008926475,0.0008925825,0.0008925487,0.0008925425,0.000892575,0.0008925975,0.0008924788,0.0008926175,0.0008927262,0.0008925537,0.0008926112,0.000892605,0.0008926025,0.0008926612,0.0008925875,0.000892595,0.0008925225,0.0008925875,0.0008925925,0.0008925462,0.0008925787,0.0008925462,0.0008925862,0.0008925813,0.0008925538,0.0008925725,0.000892635,0.0008926775,0.000892585,0.0008926713,0.0008926638,0.0008926463,0.0008926125,0.0008926213,0.0008926013,0.0008925912,0.00089266,0.000892645,0.0008926825,0.0008926325,0.0008926063,0.0008926237,0.000892515,0.00089262,0.00089264,0.0008926088,0.000892605,0.0008926687,0.000892585,0.000892595,0.00089255,0.0008925575,0.0008925425,0.0008926162,0.0008926438,0.0008926025,0.0008925887,0.00089269,0.00089259,0.0008925875,0.0008925713,0.0008926138,0.0008926013,0.0008925237,0.0008926213,0.00089249,0.00089255,0.000892735,0.0008926062,0.0008926537,0.0008925388,0.0008926463,0.0008926963,0.0008927137,0.0008926075,0.0008926162,0.0008925387,0.0008926738,0.0008926263,0.0008926588,0.0008926038,0.0008926137,0.0008926112,0.0008925725,0.0008925763,0.0008925762,0.0008925512,0.0008925925,0.0008925987,0.0008925662,0.0008926288,0.0008925825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,0.0013312637,0.0013313287,0.00133147,0.00133166,0.0013314013,0.001331345,0.0013314325,0.0013316438,0.00133167,0.0013316387,0.0013316513,0.0013314612,0.0013314687,0.0013318475,0.0013314825,0.001331425,0.00133154,0.0013314763,0.0013314362,0.0013315337,0.0013314287,0.0013314775,0.0013314738,0.0013314362,0.0013314663,0.00133142,0.0013314138,0.0013314312,0.0013314312,0.0013314175,0.00133149,0.0013315513,0.0013315038,0.0013315825,0.0013314412,0.0013315475,0.0013317412,0.0013314562,0.0013315525,0.0013315,0.0013315837,0.00133147,0.0013314388,0.0013314675,0.001331525,0.00133146,0.0013314475,0.0013314237,0.0013315163,0.0013315563,0.0013315163,0.0013316688,0.0013314887,0.0013314725,0.0013315875,0.00133165,0.00133146,0.0013315738,0.0013315938,0.0013316688,0.0013315013,0.0013315825,0.0013314625,0.00133145,0.0013315675,0.0013315325,0.0013314475,0.0013316212,0.0013314588,0.00133153,0.0013314412,0.00133139,0.0013320225,0.0013313875,0.0013315312,0.0013315525,0.0013315712,0.00133144,0.00133157,0.0013315625,0.0013315563,0.0013314112,0.0013315875,0.0013315475,0.0013315712,0.0013314738,0.0013316212,0.0013315312,0.0013315725,0.0013314275,0.001331545,0.0013316337,0.0013315413,0.0013316063,0.0013315862,0.001331415,0.0013316012,0.0013314925,0.0013314937,0.0013315212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
