,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,,,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elementsize,,,Sample,0,Sample,1,Sample,2,Sample,3,Sample,4,Sample,5,Sample,6,Sample,7,Sample,8,Sample,9,Sample,10,Sample,11,Sample,12,Sample,13,Sample,14,Sample,15,Sample,16,Sample,17,Sample,18,Sample,19,Sample,20,Sample,21,Sample,22,Sample,23,Sample,24,Sample,25,Sample,26,Sample,27,Sample,28,Sample,29,Sample,30,Sample,31,Sample,32,Sample,33,Sample,34,Sample,35,Sample,36,Sample,37,Sample,38,Sample,39,Sample,40,Sample,41,Sample,42,Sample,43,Sample,44,Sample,45,Sample,46,Sample,47,Sample,48,Sample,49,Sample,50,Sample,51,Sample,52,Sample,53,Sample,54,Sample,55,Sample,56,Sample,57,Sample,58,Sample,59,Sample,60,Sample,61,Sample,62,Sample,63,Sample,64,Sample,65,Sample,66,Sample,67,Sample,68,Sample,69,Sample,70,Sample,71,Sample,72,Sample,73,Sample,74,Sample,75,Sample,76,Sample,77,Sample,78,Sample,79,Sample,80,Sample,81,Sample,82,Sample,83,Sample,84,Sample,85,Sample,86,Sample,87,Sample,88,Sample,89,Sample,90,Sample,91,Sample,92,Sample,93,Sample,94,Sample,95,Sample,96,Sample,97,Sample,98,Sample,99,Sample,100
10,,,0.0001857425,0.0001863787,0.00018797,0.0001923363,0.00019908,0.0001975162,0.0001955238,0.0001943912,0.0001931188,0.0001939125,0.0001943675,0.00019661,0.0001984925,0.0002039288,0.0002048963,0.0001982662,0.0002015012,0.0002011875,0.0002010625,0.000200955,0.0002007987,0.0001988312,0.00020308,0.0002001438,0.0002058888,0.00020525,0.0002026975,0.0002030175,0.00020431,0.0002050475,0.0002061237,0.0002060262,0.0002079263,0.00020776,0.000206205,0.0002066413,0.0002087875,0.000208745,0.0002055925,0.0002061262,0.0002075025,0.000215095,0.0002160775,0.0002114175,0.0002093237,0.0002166312,0.0002171762,0.000211785,0.0002178613,0.0002106338,0.00021088,0.0002134387,0.0002204938,0.0002128012,0.0002215563,0.000216615,0.0002158837,0.0002155387,0.0002245563,0.0002196238,0.0002252225,0.0002202113,0.000225185,0.0002205,0.0002184163,0.0002195037,0.0002189188,0.0002224437,0.0002258712,0.0002237,0.0002268737,0.0002215775,0.0002237013,0.0002241962,0.0002248813,0.0002253625,0.0002316262,0.0002279113,0.0002257288,0.0002277787,0.0002338288,0.0002282875,0.0002340275,0.0002365475,0.0002299088,0.0002296688,0.0002325662,0.0002311888,0.000237765,0.0002326013,0.00023103,0.0002334025,0.0002331138,0.0002386763,0.0002350812,0.0002410113,0.000240185,0.0002364925,0.0002374137,0.0002374312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.0006062512,0.0006153212,0.00061814,0.0006230937,0.0006211038,0.000622625,0.0006235162,0.0006233187,0.0006215775,0.000623485,0.000624825,0.0006244387,0.0006278162,0.0006264262,0.0006285862,0.0006276038,0.000627405,0.0006292488,0.0006296237,0.0006275075,0.0006302987,0.000631035,0.0006310263,0.000630775,0.0006237263,0.00063194,0.0006292275,0.000630595,0.0006329113,0.0006351925,0.0006328913,0.0006339175,0.0006343662,0.00063511,0.0006377788,0.0006377688,0.0006383875,0.0006359362,0.00063568,0.000630585,0.0006399312,0.0006407275,0.0006400288,0.00063987,0.0006390238,0.0006388275,0.000638675,0.0006430425,0.000642295,0.00064215,0.000642335,0.00064522,0.0006453975,0.0006455187,0.0006439525,0.000647005,0.0006478925,0.0006478225,0.0006475425,0.00064649,0.0006413725,0.000650975,0.00064613,0.000648955,0.0006498563,0.0006495812,0.0006444888,0.00065223,0.000650145,0.000653485,0.000650605,0.00065247,0.0006530312,0.0006546488,0.0006546862,0.0006491888,0.0006561875,0.0006579637,0.00065629,0.0006583162,0.0006589875,0.0006530025,0.0006606325,0.0006609313,0.000661895,0.0006620525,0.0006592425,0.00065943,0.0006628013,0.000662865,0.0006551663,0.0006604,0.00066123,0.000665245,0.00066336,0.0006649075,0.00066581,0.0006640363,0.00066631,0.0006638938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.001471645,0.0014790862,0.0014826487,0.0014870225,0.0014844213,0.00148677,0.00148784,0.0014874788,0.00148168,0.0014831888,0.0014911475,0.0014909687,0.0014796337,0.0014941038,0.0014927288,0.0014928537,0.001493155,0.001489895,0.001494625,0.0014928913,0.0014930175,0.0014955,0.0014891013,0.001494735,0.0014946875,0.0014964,0.0014965988,0.0014971287,0.0014972175,0.0014990675,0.0015000112,0.001500605,0.0014978963,0.001501455,0.0015000238,0.001502365,0.0015017538,0.0015007025,0.0015027087,0.0015034913,0.0015055975,0.0015009375,0.0015041663,0.001504345,0.0015045688,0.0015050813,0.001506145,0.0015063,0.0015055075,0.0015065375,0.00150983,0.0015079287,0.001507145,0.0015108175,0.0015113162,0.0015124987,0.0015125,0.0015132937,0.0015118787,0.001513975,0.0015118825,0.0015138562,0.0015157313,0.0015146825,0.001517075,0.0015138763,0.0015077963,0.001512415,0.0014935987,0.001515875,0.0015171375,0.0015169625,0.00151786,0.0015197925,0.001516085,0.0015220925,0.0015216362,0.00152118,0.001522345,0.00152295,0.0015201125,0.0015245712,0.0015245212,0.0015228337,0.00151669,0.0015270963,0.0015237738,0.0015278613,0.001528905,0.0015255587,0.0015266325,0.0015264625,0.00153034,0.001529855,0.0015292912,0.0015307925,0.0015327638,0.0015205113,0.001531695,0.0015314312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.0028883213,0.0028897163,0.0028925375,0.0028974837,0.0028982038,0.002897055,0.002898495,0.0028983063,0.002899355,0.0028996612,0.0029004412,0.0029016375,0.0029034813,0.0029028738,0.0029039225,0.0029043612,0.0029037,0.00290352,0.0029056437,0.002904515,0.0029069625,0.0029050837,0.00290557,0.0029054325,0.0029057612,0.0029055787,0.00290619,0.0029077813,0.0029099812,0.0029107338,0.0029099513,0.0029099875,0.0029115475,0.0029115337,0.002912715,0.00291287,0.00291288,0.0029131375,0.0029133037,0.0029134313,0.0029145588,0.00291433,0.002915275,0.0029167625,0.0029150437,0.0029144188,0.0029169412,0.0029184175,0.0029192612,0.0029211938,0.0029205475,0.0029197212,0.0029203037,0.0029212687,0.0029222438,0.0029243325,0.00292338,0.00292386,0.0029246262,0.002924195,0.0029231187,0.0029236713,0.0029256312,0.0029282312,0.002927045,0.0029261025,0.0029276787,0.0029278387,0.00292808,0.0029289125,0.0029280025,0.00292977,0.0029293112,0.00292988,0.0029308162,0.0029321575,0.0029318025,0.0029335163,0.0029342125,0.002934675,0.0029357338,0.00293569,0.0029365562,0.00293708,0.0029362213,0.00293901,0.002937525,0.00293673,0.0029384463,0.0029383288,0.002938555,0.0029406863,0.002940725,0.00293951,0.00294094,0.0029406075,0.0029429337,0.0029410337,0.00294061,0.0029416863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,0.0050022288,0.0050039,0.0050063413,0.005010655,0.0050116213,0.00501156,0.005012405,0.0050118375,0.00501413,0.0050149225,0.0050139713,0.0050152013,0.0050150913,0.0050176825,0.005016815,0.0050172662,0.0050176788,0.00501804,0.0050184212,0.0050174388,0.0050192675,0.005019975,0.0050191213,0.0050181675,0.0050196662,0.005018895,0.0050209663,0.005022645,0.0050236275,0.0050224125,0.0050238875,0.005025545,0.0050245137,0.0050260325,0.0050263787,0.005026585,0.0050267,0.0050252525,0.0050274838,0.0050274187,0.0050275862,0.005026875,0.0050284725,0.005028945,0.0050295538,0.0050295113,0.0050295688,0.00503118,0.0050330363,0.0050336188,0.0050341537,0.0050335012,0.0050352225,0.0050350437,0.005036265,0.00503642,0.0050371288,0.0050369113,0.005037205,0.0050383637,0.0050387688,0.005037495,0.0050393375,0.005039445,0.0050400775,0.00504007,0.0050416563,0.0050424175,0.0050404325,0.00504184,0.0050405212,0.0050422263,0.0050435125,0.005043255,0.0050445587,0.0050452613,0.0050461788,0.0050478,0.0050467487,0.0050484163,0.00504981,0.0050499875,0.0050496913,0.00504906,0.0050501563,0.0050505862,0.0050508588,0.0050516012,0.005051225,0.0050511887,0.00505325,0.0050526137,0.0050531475,0.0050539138,0.0050554862,0.0050537388,0.0050545825,0.0050528775,0.0050537263,0.0050546038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,0.0079450687,0.00794994,0.0079501537,0.0079549525,0.0079553462,0.0079565063,0.007957075,0.0079563575,0.007957195,0.0079577362,0.0079584375,0.0079592825,0.0079627588,0.00796202,0.0079621325,0.007960785,0.0079603112,0.0079629663,0.0079635838,0.0079624475,0.007963825,0.00796523,0.0079744088,0.007963745,0.0079636012,0.007965395,0.0079664237,0.0079651637,0.0079658175,0.0079838675,0.0079684437,0.0079695362,0.0079691863,0.0079696388,0.0079711075,0.0079717387,0.0079718963,0.0079699588,0.0079783675,0.00797219,0.0079719763,0.0079729025,0.007971465,0.0079701312,0.0079721862,0.007974715,0.0079749838,0.0079723712,0.0079778225,0.0079760625,0.0079772125,0.0079796463,0.007978585,0.00798101,0.0079816775,0.0079819725,0.0079804175,0.0079832875,0.007980055,0.0079805075,0.0079815513,0.0079839538,0.00798178,0.0079834575,0.0079841437,0.0079841987,0.0079858587,0.0079865112,0.0079863413,0.007984445,0.0079832675,0.0079858462,0.0079859288,0.0079894575,0.00798784,0.0079878962,0.0079890863,0.0079904162,0.007991605,0.0079909563,0.0079925413,0.0079933637,0.0079930912,0.0079932487,0.0079955025,0.0079931313,0.0079960413,0.0079961037,0.00799402,0.0079983113,0.0079965075,0.0079991313,0.0079985375,0.0079954763,0.0079991562,0.0079990763,0.0079973237,0.0080000688,0.0079979913,0.0080001375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,0.0118110375,0.0118084212,0.0118161175,0.0118183788,0.0118193888,0.0118197038,0.0118187075,0.0118213187,0.0118219113,0.0118259275,0.0118236812,0.0118247712,0.0118221588,0.0118266875,0.0118287375,0.0118245163,0.0118230088,0.0118255262,0.0118264162,0.011829295,0.0118284587,0.0118272837,0.0118280788,0.011827735,0.0118282413,0.011827585,0.0118269112,0.0118318938,0.01183183,0.0118294638,0.0118336038,0.011831955,0.0118350588,0.0118350625,0.0118356138,0.0118348038,0.0118320663,0.0118334813,0.0118320063,0.011835535,0.0118372412,0.0118369263,0.0118364637,0.0118331313,0.0118362075,0.0118416313,0.0118368912,0.011841275,0.0118413088,0.0118440612,0.0118402025,0.0118413788,0.0118428162,0.01184426,0.0118442488,0.0118450612,0.0118449887,0.0118439112,0.0118430188,0.0118471325,0.0118750663,0.0118485638,0.0118499137,0.0118474875,0.0118481262,0.0118513188,0.0118500512,0.0118491862,0.0118489338,0.0118564575,0.011849665,0.011852425,0.0118493412,0.01185217,0.01185467,0.0118541225,0.0118538175,0.011855445,0.0118556088,0.0118588588,0.011857165,0.0118578787,0.0118583325,0.0118552988,0.01186065,0.0118567413,0.0118554788,0.0118590787,0.0118593525,0.0118584,0.0118592675,0.011861835,0.011862505,0.0118623187,0.0118628113,0.0118607887,0.0118612025,0.0118630325,0.0118594475,0.0118629962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
