,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Input,,,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,Output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elementsize,,,Sample,0,Sample,1,Sample,2,Sample,3,Sample,4,Sample,5,Sample,6,Sample,7,Sample,8,Sample,9,Sample,10,Sample,11,Sample,12,Sample,13,Sample,14,Sample,15,Sample,16,Sample,17,Sample,18,Sample,19,Sample,20,Sample,21,Sample,22,Sample,23,Sample,24,Sample,25,Sample,26,Sample,27,Sample,28,Sample,29,Sample,30,Sample,31,Sample,32,Sample,33,Sample,34,Sample,35,Sample,36,Sample,37,Sample,38,Sample,39,Sample,40,Sample,41,Sample,42,Sample,43,Sample,44,Sample,45,Sample,46,Sample,47,Sample,48,Sample,49,Sample,50,Sample,51,Sample,52,Sample,53,Sample,54,Sample,55,Sample,56,Sample,57,Sample,58,Sample,59,Sample,60,Sample,61,Sample,62,Sample,63,Sample,64,Sample,65,Sample,66,Sample,67,Sample,68,Sample,69,Sample,70,Sample,71,Sample,72,Sample,73,Sample,74,Sample,75,Sample,76,Sample,77,Sample,78,Sample,79,Sample,80,Sample,81,Sample,82,Sample,83,Sample,84,Sample,85,Sample,86,Sample,87,Sample,88,Sample,89,Sample,90,Sample,91,Sample,92,Sample,93,Sample,94,Sample,95,Sample,96,Sample,97,Sample,98,Sample,99,Sample,100
10,,,0.0011839538,0.0011854412,0.0011844575,0.001184095,0.0011905337,0.0011902325,0.00119083,0.0011847613,0.00118816,0.00118433,0.0011850562,0.00118408,0.0011878787,0.001190805,0.0011902012,0.0011844888,0.001184115,0.0011897362,0.0011850312,0.0011852513,0.0011855575,0.0011873413,0.0011871975,0.0011839275,0.0011901225,0.0011839287,0.001184725,0.0011899212,0.0011846512,0.0011914875,0.00118476,0.0011896975,0.001190055,0.00118468,0.001184705,0.00119001,0.0011842825,0.00118445,0.0011893412,0.0011843125,0.0011874838,0.0011893437,0.001183965,0.001184055,0.001184345,0.0011841063,0.0011849212,0.0011842563,0.0011897763,0.0011895738,0.001184205,0.00118883,0.0011836987,0.0011836975,0.0011847338,0.00118393,0.0011894775,0.0011900612,0.00118398,0.0011923437,0.0011835863,0.0011894125,0.0011844325,0.0011837225,0.0011932562,0.00118423,0.001183755,0.0011906638,0.0011865437,0.0011894725,0.0011840025,0.001189445,0.0011902725,0.0011839938,0.0011887713,0.001185365,0.0011869812,0.001184445,0.00118714,0.0011843225,0.0011898837,0.0011843762,0.001187675,0.0011831225,0.0011868688,0.0011843225,0.0011843075,0.0011844987,0.0011836075,0.0011840487,0.0011851625,0.001184215,0.0011895287,0.0011841313,0.0011838037,0.0011895813,0.0011842762,0.0011839088,0.0011892287,0.0011836138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.0049254075,0.00491775,0.0049220437,0.0049217562,0.00491728,0.00492298,0.0049109638,0.0049102562,0.0049635188,0.0049143012,0.0049131225,0.00490875,0.0049154487,0.004919095,0.0049144537,0.0049240825,0.0050293125,0.0049813225,0.0049158175,0.0049169338,0.0049181875,0.0050042637,0.0049133425,0.0049125362,0.0049172825,0.0049213363,0.0049160137,0.0049157613,0.0049296463,0.0049141925,0.0049160788,0.004913235,0.0049150588,0.004995745,0.0049857525,0.0049269125,0.0049207025,0.0049143425,0.0049188075,0.0049206525,0.0049161975,0.0049151212,0.00502987,0.00491487,0.0050507837,0.0049126125,0.0049136888,0.004914725,0.0049176988,0.0049209612,0.0049734387,0.004918625,0.0049175625,0.0049931863,0.005008765,0.0049173575,0.004932035,0.0049285125,0.0049222475,0.0049177963,0.0049112437,0.0049107187,0.0050297312,0.004914345,0.0049188412,0.0049133213,0.0049364775,0.0049875462,0.0049261925,0.0049169538,0.0049235,0.0050014187,0.0049190575,0.0049153675,0.0049185725,0.0049190712,0.0049133175,0.0049245738,0.0050106663,0.00493466,0.0049188913,0.004920255,0.0049147262,0.00500785,0.0049195637,0.0049299475,0.0049160238,0.0049200063,0.0049157038,0.0049144313,0.0049209738,0.004918855,0.004922425,0.004978735,0.0049240925,0.00491339,0.0049211163,0.0049207575,0.00491012,0.0049824425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,0.0093904213,0.0093915138,0.00938274,0.0093880425,0.0093851837,0.0093930237,0.0093935125,0.0093899525,0.0093920825,0.0093930125,0.0093885525,0.0093914575,0.0093865088,0.0093896638,0.0093960287,0.0093879125,0.0093907575,0.0093841613,0.0093830875,0.0093901175,0.009387715,0.009385735,0.0093898725,0.0093975138,0.009388645,0.00939532,0.0093875637,0.0093959012,0.0093924025,0.0093870313,0.0093950313,0.00940249,0.0093874825,0.0093886625,0.0093923075,0.0093905437,0.0093940687,0.0093825487,0.0093856225,0.0094006975,0.0093915675,0.0093830987,0.009388345,0.0093873563,0.0093840263,0.0093868662,0.009388635,0.0093894263,0.00938211,0.0093869325,0.0093865462,0.0093831212,0.009388645,0.0093823112,0.0093898625,0.0094031488,0.0093896562,0.009388105,0.00939148,0.0093908137,0.00938958,0.0093904875,0.0093850775,0.0093907038,0.009388155,0.0093831025,0.009383645,0.0093954313,0.0093850325,0.009385005,0.0093947763,0.0093858012,0.0093860075,0.0093850225,0.009395855,0.0093952013,0.0093903588,0.0093883438,0.0093847425,0.009389545,0.009382215,0.00938499,0.0093841988,0.0093905275,0.0093932775,0.009387195,0.0093889775,0.0093906725,0.00939025,0.0093870462,0.009385615,0.009395565,0.009388735,0.0093840313,0.0093866275,0.0093909888,0.0093853825,0.0093811287,0.0093873725,0.0093870025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,0.0184902125,0.0184878963,0.018489985,0.0184610462,0.0185303013,0.0184446812,0.0184487163,0.0184941438,0.0184841125,0.0184578988,0.0184993938,0.01845988,0.018520915,0.018476955,0.01849749,0.018483175,0.0184656113,0.0184439537,0.018458335,0.01845744,0.01850368,0.0185066012,0.018497765,0.0184493162,0.0185103713,0.018482845,0.0184604462,0.0184452138,0.01848144,0.0185093075,0.0184976175,0.0185143662,0.0184774612,0.01848504,0.0185065825,0.0184477825,0.018451745,0.018453775,0.0185206,0.01846283,0.018443765,0.018524055,0.0184651225,0.0185046787,0.018493315,0.0185125638,0.0184530037,0.0184405413,0.0184939412,0.01850245,0.0184586275,0.0184808912,0.0185103375,0.0184532275,0.018503775,0.0184453038,0.0184972875,0.018492585,0.0184449237,0.0184960075,0.0185000412,0.0184951688,0.01845239,0.018494285,0.0184977,0.0184481362,0.0185001538,0.018449515,0.0184898662,0.0185224613,0.0184980662,0.0184986325,0.0185076238,0.0184566363,0.018493315,0.01845582,0.0185198263,0.0184857775,0.0184529425,0.01849326,0.018454605,0.0184554838,0.0184928875,0.01846027,0.0184912425,0.01850661,0.0184531812,0.0185262887,0.0184751175,0.0184506637,0.0184862913,0.0184363713,0.01844791,0.0184949825,0.0185029712,0.018499135,0.0184929925,0.0184892725,0.01845967,0.0185055875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,0.03186372,0.0318644213,0.031798555,0.0318751125,0.031819365,0.0318028875,0.031810245,0.0318668625,0.0318748463,0.0318930088,0.03178819,0.03185253,0.0318627012,0.0318521775,0.0318596438,0.0318555175,0.0318673038,0.0318882,0.0318772187,0.03188241,0.0318040412,0.0317987625,0.0318494325,0.0318707725,0.031795255,0.0318614425,0.0318567062,0.0317897138,0.0318778575,0.0318868962,0.0318536475,0.0317925675,0.0318885175,0.03187111,0.0318740875,0.0318694462,0.0317934088,0.03181219,0.031876095,0.03179038,0.0318748975,0.0318707762,0.0318791775,0.0318084375,0.0318570525,0.0318625575,0.0317840625,0.0318079125,0.03185304,0.031855585,0.03187156,0.03185338,0.0317734538,0.03179085,0.0318039225,0.0317899888,0.0318058675,0.031799565,0.0318660475,0.0318669762,0.0318180975,0.03187952,0.03180714,0.0318086175,0.0318687325,0.0318111975,0.0317925675,0.0318710225,0.031798735,0.0318119487,0.031782735,0.0318598613,0.03188309,0.0318528325,0.0318654,0.03186054,0.0317882675,0.031792615,0.0317979062,0.031862445,0.03186195,0.0318632325,0.0318694213,0.0318617275,0.0318897725,0.031872135,0.0318538375,0.031895145,0.0317999025,0.031866835,0.0318735512,0.0317815262,0.0318707038,0.0318752812,0.03180024,0.031782395,0.03185493,0.03180006,0.03184642,0.0317997375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,0.0508673625,0.0508988675,0.0508938637,0.0509080575,0.0508468725,0.0509345712,0.0509450112,0.050856375,0.0507955125,0.0508363,0.0509497513,0.0508223775,0.050808435,0.0509532637,0.0509163075,0.050866485,0.0507801,0.050921625,0.0507787988,0.0509533675,0.0507953325,0.05076954,0.050857515,0.0507845288,0.050954045,0.050920145,0.05091528,0.0509606812,0.0509711112,0.050864175,0.050835045,0.050945735,0.0508425,0.0507916725,0.05088636,0.0508822225,0.05078994,0.0509491362,0.05087011,0.05091192,0.050850945,0.0508353675,0.050877645,0.0508701525,0.0508305188,0.0509660613,0.050939265,0.0509458875,0.0508352612,0.05092824,0.0507519975,0.0508507075,0.0508440825,0.0508006837,0.0508766325,0.05089566,0.0509425925,0.0507975675,0.050862765,0.050865525,0.0508593525,0.0509416613,0.0508929675,0.0508605975,0.0509473587,0.0508794675,0.0508029525,0.0509355075,0.0508517475,0.0508221375,0.0509456125,0.050921385,0.0509497988,0.0509389012,0.050852415,0.05088536,0.0509186775,0.0509358463,0.050862085,0.050967385,0.05090435,0.0509301713,0.0507914925,0.0509347875,0.050916675,0.0508425,0.05095601,0.0509228475,0.05094702,0.0508912125,0.05093964,0.0508625625,0.0509310188,0.0508440825,0.05094189,0.0508621275,0.0508416738,0.0508002825,0.0509124375,0.0508732725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,0.0762247125,0.0762423675,0.0762396375,0.0761314275,0.0762506925,0.0762872775,0.0762486312,0.0762664087,0.076163835,0.076281255,0.0762614675,0.076210185,0.0763079688,0.0762991875,0.0761861025,0.076257235,0.0762372225,0.07625856,0.07632006,0.0761118225,0.0762622925,0.0762502475,0.0761810963,0.0762482488,0.07629474,0.0762100725,0.07624854,0.0762600525,0.0762634425,0.0761833125,0.076253995,0.0762043762,0.076239765,0.0762464212,0.0762636075,0.076238565,0.0762664575,0.0762509162,0.0762527025,0.0762472863,0.076176095,0.0762541025,0.0762472325,0.0762440175,0.0762512625,0.0762665625,0.0762500175,0.0762939813,0.0761697375,0.0762825525,0.0761778975,0.0762415275,0.076126965,0.076170855,0.07616718,0.07625517,0.0762853125,0.076260195,0.0761094075,0.0761623025,0.07630626,0.07617824,0.076170355,0.0761269425,0.076169115,0.0761524875,0.0762414825,0.076252445,0.0762426188,0.076256575,0.0761683725,0.0762540425,0.0762442425,0.0762566625,0.0762614075,0.076262895,0.0762480525,0.0761678325,0.0762511762,0.0761888512,0.076248835,0.0760969012,0.0762404625,0.076179735,0.07623834,0.07619874,0.076294245,0.07617816,0.0762463525,0.0761809613,0.0762864225,0.0761611725,0.0762633525,0.076295325,0.0762285675,0.0762641188,0.07625898,0.0762363013,0.07618251,0.07606377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
