1,381
2,500
4,560
8,792
16,1246
32,2200
64,4102
128,8323
256,16163
512,31909
1024,64050
2048,127924
4096,255242
8192,509618
16384,1019905
32768,2040060
65536,4077260
131072,8166810
262144,16385468
524288,33330479
1048576,66660958
2097152,133321916
0,0
