Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    277.07     0.01        6     0.00     0.00  unitvec_
  0.00    277.08     0.01        2     0.01     0.01  opcount_
  0.00    277.09     0.01        1     0.01     0.01  gen_int_
  0.00    277.10     0.01        1     0.01     0.01  hash_build_3
  0.00    277.11     0.01        1     0.01     0.03  jl_findpts_local_setup_3
  0.00    277.12     0.01                             nekmap_faced_
  0.00    277.12     0.01     2021     0.00     0.00  glsum_
  0.00    277.13     0.01     1999     0.00     0.00  lu_
  0.00    277.13     0.01        1     0.01     0.09  eigenv_
  0.00    277.14     0.01                             col2c_
  0.00    277.14     0.01                             sort_
  0.00    277.14     0.00   219616     0.00     0.00  jl_tensor_dot
  0.00    277.14     0.00   192000     0.00     0.00  ran2_
  0.00    277.14     0.00    55351     0.00     0.00  uintcpy
  0.00    277.14     0.00    55296     0.00     0.00  mixtperf_d_prt_
  0.00    277.14     0.00    55296     0.00     0.00  nekasgn_
  0.00    277.14     0.00    55296     0.00     0.00  useric_
  0.00    277.14     0.00    54982     0.00     0.00  gll_lag_06
  0.00    277.14     0.00    53244     0.00     0.00  tensor_mtxv
  0.00    277.14     0.00    37740     0.00     0.00  pt_flags_to_bin
  0.00    277.14     0.00    29216     0.00     0.00  dlartg_
  0.00    277.14     0.00    19497     0.00     0.00  dlamc3_
  0.00    277.14     0.00    18870     0.00     0.00  reject_prior_step_q
  0.00    277.14     0.00    17274     0.00     0.00  newton_vol
  0.00    277.14     0.00    13824     0.00     0.00  lob_bnd_fst
  0.00    277.14     0.00    12466     0.00     0.00  allreduce_setup
  0.00    277.14     0.00    11856     0.00     0.00  dscal_
  0.00    277.14     0.00     8864     0.00     0.00  dlapy2_
  0.00    277.14     0.00     8592     0.00     0.00  daxpy_
  0.00    277.14     0.00     8512     0.00     0.00  jl_sarray_permute_buf_
  0.00    277.14     0.00     8389     0.00     0.00  jl_crystal_router
  0.00    277.14     0.00     6560     0.00     0.00  radix_zeros_ui
  0.00    277.14     0.00     6436     0.00     0.00  dlamch_
  0.00    277.14     0.00     6223     0.00     0.00  pw_exec
  0.00    277.14     0.00     6169     0.00     0.00  gop_
  0.00    277.14     0.00     6007     0.00     0.00  array_init_
  0.00    277.14     0.00     6002     0.00     0.00  jl_gs_gather_many
  0.00    277.14     0.00     6002     0.00     0.00  jl_gs_gather_vec_to_many
  0.00    277.14     0.00     6002     0.00     0.00  jl_gs_init_many
  0.00    277.14     0.00     6002     0.00     0.00  jl_gs_many
