Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 28.43     39.76    39.76 105096376     0.00     0.00  mxf6_
 16.98     63.50    23.74    20800     1.14     1.14  rzero_
 13.09     81.80    18.30  2120000     0.01     0.01  nekcopy_
  7.12     91.75     9.95 21484695     0.00     0.00  baryinterp_new_
  3.05     96.02     4.27  7161565     0.00     0.00  init_baryinterp_
  2.83     99.98     3.96  9408000     0.00     0.00  nekadd2col2_
  2.72    103.78     3.80  1542000     0.00     0.00  neksub2_
  2.11    106.73     2.95   990000     0.00     0.00  full2face_cmt_
  1.91    109.40     2.67   216567     0.01     0.01  gather_double_add
  1.85    111.98     2.58     6002     0.43     0.43  jl_gs_scatter_many_to_vec
  1.67    114.31     2.33     2000     1.17    12.64  update_stokes_particles_
  1.42    116.30     1.99  1104000     0.00     0.00  ausm_fluxfunction_
  1.36    118.20     1.90     2000     0.95    50.28  cmt_nek_advance_
  1.24    119.94     1.74   960000     0.00     0.01  flux_div_integral_
  1.24    121.67     1.73     6002     0.29     0.29  jl_gs_scatter_many
  1.08    123.18     1.51 10080000     0.00     0.00  nekcol2_
  1.04    124.63     1.45    30000     0.05     0.08  surface_integral_full_
  0.92    125.91     1.28   960000     0.00     0.00  nekadd2_
  0.75    126.96     1.05     2000     0.53     0.53  compute_cfl_
  0.72    127.96     1.00    30000     0.03     0.03  add_face2full_cmt_
  0.68    128.91     0.96 100489496     0.00     0.00  mxm_
  0.67    129.85     0.94   960000     0.00     0.03  assemble_h_
  0.67    130.79     0.94    30000     0.03     0.03  fillq_
  0.53    131.53     0.74   960000     0.00     0.01  compute_forcing_
  0.44    132.14     0.61 105097496     0.00     0.00  mxmf2_
  0.43    132.74     0.60     2001     0.30     0.47  particles_in_nid_
  0.41    133.31     0.57    21787     0.03     0.03  radix_count_ui
  0.40    133.87     0.56   576000     0.00     0.00  nekinvcol3_
  0.36    134.38     0.51 14347305     0.00     0.00  copy_
  0.32    134.83     0.45  1921376     0.00     0.00  add2_
  0.30    135.25     0.42     6000     0.07     4.54  inviscidflux_
  0.29    135.66     0.41     2002     0.20     0.29  jl_findpts_local_3
  0.26    136.03     0.37 28704000     0.00     0.00  map_faced_
  0.23    136.35     0.32   768000     0.00     0.00  neksubcol3_
  0.21    136.64     0.30  1104000     0.00     0.00  invcol3_
  0.19    136.90     0.26     8074     0.03     0.09  jl_sarray_transfer_many
  0.18    137.15     0.25  4417536     0.00     0.00  specmpn_
  0.14    137.35     0.20   579221     0.00     0.00  col2_
  0.12    137.52     0.17     2001     0.08     0.75  jl_findpts_3
  0.12    137.69     0.17  2208000     0.00     0.00  invcol2_
  0.11    137.84     0.16 14426707     0.00     0.00  icopy_
  0.10    137.98     0.14 79488000     0.00     0.00  mixtperf_ho_cptuvw_
  0.10    138.12     0.14 33121536     0.00     0.00  get_int_ptr_
  0.07    138.22     0.10     2000     0.05     0.05  update_particle_location_
  0.07    138.32     0.10                             mxf7_
  0.06    138.41     0.09    14938     0.01     0.04  jl_sortp_ui
  0.06    138.49     0.08 66243077     0.00     0.00  lim_chk_
  0.06    138.57     0.08  1104002     0.00     0.00  nekrzero_
  0.06    138.65     0.08     2001     0.04     7.15  baryweights_findpts_eval_
  0.06    138.73     0.08     2001     0.04     0.21  update_findpts_info_
  0.06    138.81     0.08                             mxf1_
  0.05    138.88     0.07  4417536     0.00     0.00  intp_rstd_
  0.04    138.94     0.06 21496989     0.00     0.00  hash_index_aux
  0.04    139.00     0.06  7165663     0.00     0.00  hash_index_3
  0.04    139.06     0.06   960000     0.00     0.02  evaluate_conv_h_
  0.04    139.12     0.06      135     0.44     0.44  radix_count_ull
  0.04    139.18     0.06        1    60.00    60.00  mixtperf_g_cpr_
  0.04    139.23     0.06   960000     0.00     0.00  local_grad3_t_
  0.04    139.28     0.05  5760000     0.00     0.00  nekfacind_
  0.02    139.31     0.03 21485931     0.00     0.00  hash_index_aux
  0.02    139.34     0.03   960000     0.00     0.00  add_conv_diff_h_
  0.02    139.37     0.03                             col2s2_
  0.01    139.39     0.02   960000     0.00     0.00  get_dgl_ptr_
  0.01    139.41     0.02   576000     0.00     0.00  nekgradl_rst_
  0.01    139.43     0.02   576000     0.00     0.00  neklocal_grad3_
  0.01    139.45     0.02    18290     0.00     0.01  jl_sortp_ull
  0.01    139.47     0.02     8624     0.00     0.00  jl_sarray_permute_
  0.01    139.49     0.02     6099     0.00     0.85  gs_aux
  0.01    139.51     0.02     6070     0.00     0.00  fgs_check_handle
  0.01    139.53     0.02     2001     0.01     8.73  interp_u_for_adv_
  0.01    139.55     0.02     2000     0.01     2.29  get_bdf_ext_coefs_
  0.01    139.57     0.02        1    20.00    20.00  cmt_flow_ics_
