Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.01     90.80     0.01                             col2c_
  0.01     90.80     0.01                             hgj_
  0.01     90.81     0.01                             setab3_
  0.01     90.81     0.01                             settolv_
  0.01     90.82     0.01                             specmp_
  0.01     90.82     0.01                             trst3d_
  0.00     90.82     0.00  3924203     0.00     0.00  dnekclock_
  0.00     90.82     0.00  2880000     0.00     0.00  nekfacind_
  0.00     90.82     0.00  2304000     0.00     0.00  nekmxm_
  0.00     90.82     0.00   480000     0.00     0.00  get_dgl_ptr_
  0.00     90.82     0.00   288000     0.00     0.00  nekgradl_rst_
  0.00     90.82     0.00    95747     0.00     0.00  uintcpy
  0.00     90.82     0.00    57238     0.00     0.00  jl_tensor_dot
  0.00     90.82     0.00    40957     0.00     0.00  lsame_
  0.00     90.82     0.00    19497     0.00     0.00  dlamc3_
  0.00     90.82     0.00    18318     0.00     0.00  jl_sortp_ull
  0.00     90.82     0.00    14142     0.00     0.00  gll_lag_06
  0.00     90.82     0.00    13824     0.00     0.00  mixtperf_d_prt_
  0.00     90.82     0.00    13824     0.00     0.00  nekasgn_
  0.00     90.82     0.00    13824     0.00     0.00  useric_
  0.00     90.82     0.00    13596     0.00     0.00  tensor_mtxv
  0.00     90.82     0.00    12522     0.00     0.00  allreduce_setup
  0.00     90.82     0.00     9664     0.00     0.00  pt_flags_to_bin
  0.00     90.82     0.00     8736     0.00     0.00  jl_sarray_permute_buf_
  0.00     90.82     0.00     8009     0.00     0.00  smalloc
  0.00     90.82     0.00     6638     0.00     0.00  hash_range_2
  0.00     90.82     0.00     6534     0.00     0.00  fgs_check_parms
  0.00     90.82     0.00     6169     0.00     0.00  gop_
  0.00     90.82     0.00     6099     0.00     0.50  gs_aux
  0.00     90.82     0.00     6007     0.00     0.00  array_init_
  0.00     90.82     0.00     6002     0.00     0.10  jl_gs_gather_many
  0.00     90.82     0.00     6002     0.00     0.10  jl_gs_gather_vec_to_many
  0.00     90.82     0.00     6002     0.00     0.00  jl_gs_init_many
  0.00     90.82     0.00     6002     0.00     0.54  jl_gs_many
  0.00     90.82     0.00     6001     0.00     0.00  set_dealias_rx_
  0.00     90.82     0.00     6000     0.00     0.21  compute_primitive_vars_
  0.00     90.82     0.00     6000     0.00     0.56  face_state_commo_
  0.00     90.82     0.00     6000     0.00     3.14  fluxes_full_field_
  0.00     90.82     0.00     6000     0.00     0.00  gs_op_fields_
  0.00     90.82     0.00     6000     0.00     0.15  set_convect_cons_
